title,part_of_speech,definition,priority,suggested_etymology,source
մարդուժ,noun,"['manpower, workforce, human resources; the available supply of human labor, workers, or personnel.']",2,,
մարզախաղ,noun,"['athletic game, tournament game; athletics.']",2,,
մարզանք,noun,"['gymnastics, exercise, drill.']",2,,
մարզուիլ,verb,"['to be educated, instructed, prepared, trained; to be drilled; to gain experience; to train physically, to exercise.']",2,,
մարիլ,verb,"['to go out (fire, light), to be extinguished, to be put out; to be quenched, to swoon away, to die off; to pass out, to faint; to laugh excessively, to laugh to the point of collapse.']",1,,
մեծագործ,adjective,"['magnificent, generous, gorgeous, noble, ostentatious, grand, splendid, superb, grandiose, imposing.']",2,,
մեծադիր,adjective,['large formed.'],2,,
մեծաթիւ,adjective,"['numerous, various, multifarious.']",2,,
մեծայարգ,adjective,['Highly respected; greatly esteemed; very honorable.'],2,,
մեծապէս,adverb,"['greatly, considerably.']",2,,
մեծնալ,verb,"['to grow, to grow big, to grow up, to increase, to get big, to become great, famous, old, to become rich.']",2,,
մեկնակէտ,noun,['starting point.'],2,,
մեղաւոր,adjective,"['one who has sinned, who has transgressed divine law, sinful, sinner; culprit, offender; the cause of an evil or harm.']",2,,
մեղմանալ,verb,"['to become soft, moderate, mild, to get milder, temperate, to grow cool, to be assuaged, to relax, to soften.']",2,,
մեներգել,verb,['to sing solo.'],2,,
մեռելոց,noun,"[""All Souls' Day, Decoration Day.""]",2,,
մետաղեայ,adjective,"['metallic, of metal.']",2,,
մերթ,adverb,"['sometimes, now and then.']",1,,
մերժուիլ,verb,"['to be refused, to be rejected, to abstain from, to be driven out.']",2,,
մերձաւոր,adjective,"['Nearby, close in location; located near or close by; Close in time; near in temporal proximity; Relative, kin, close friend, intimate person.']",2,,
մերձուստ,adverb,['from near.'],2,,
մերօրեայ,adjective,"['of our days, of our times, modern, current, contemporary.']",2,,
մէկտեղել,verb,"['to bring to one place, to gather in one place, to rally, to join, to combine, to lump.']",2,,
մէջբերել,verb,"['to quote, to cite, to mention; to mention or refer to something; to bring up; to make a quotation from a statement or written source; to cite as evidence or reference.']",2,,
մթագնել,verb,"['to obscure, to obfuscate, to fog, to darken, to dim, to shade, to shadow.']",2,,
մթագնիլ,verb,"['to grow dim, to darken, to become dark, to become obscure, to be obfuscated.']",2,,
միաբանիլ,verb,['To unite in speech or opinion; to come to agreement; to agree; To be in harmony; to correspond; to coincide; (Religious) To become a monk of the monastery; to join the monastic brotherhood.'],2,,
միակամ,adjective,"['unanimous, concordant, having the same will; unanimously, concordantly.']",2,,
միանուագ,adjective,['One-time; single-occurrence; non-recurring; All at once; in a single installment; in one go.'],2,,
միացեալ,adjective,['united.'],2,,
միջադէպ,noun,"['incident, occurrence.']",2,,
միտիլ,verb,"['to incline, to bend, to bow, to be disposed, to tend, to lean, to mind, to converge.']",1,,
միօրեայ,adjective,['lasting or relating to a period of one day; occurring once every day; one-day-old.'],2,,
մխրճիլ,verb,"['to sink, to merge, to plunge, to go deep, to immerse.']",2,,
մխրճուիլ,verb,"['to be immersed, submerged, plunged, doused, to be sunk.']",2,,
մկրտուիլ,verb,"['to be baptized, to receive baptism, to be christened.']",2,,
մղձաւանջ,noun,['nightmare.'],2,,
մղուիլ,verb,"['to be pushed, thrusted; to be incited, instigated, induced.']",2,,
մնացեալ,adjective,"['what is left, what remains; the rest, remaining.']",2,,
մշակոյթ,noun,['culture.'],2,,
մշակուիլ,verb,"['to be cultivated, cultured, tilled, studied, improved, exercised, practiced.']",2,,
մշտախօս,adjective,"['continuously speaking, singing.']",2,,
մշտահոս,adjective,"['always flowing, everflowing, inexhaustible.']",2,,
մոլեռանդ,adjective,"['fanatic, fanatical, bigot, intolerant, rabid, zealot, zealous.']",2,,
մոլորանք,noun,"['straying, wandering, error, aberration, seduction, aberrance.']",2,,
մոխրանալ,verb,"['to turn into ash, become ash, burn down completely; to be extinguished, die out, go dark; to vanish, disappear, be annihilated; to fade away, cease to exist; to become earth, return to dust; to be destroyed, reduced to ruins.']",2,,
մոռցնել,verb,['to cause to forget.'],2,,
մոռցուիլ,verb,['to be forgotten.'],2,,
մռնչել,verb,"['to roar, to blare, to groan, to murmur.']",2,,
մռունչ,noun,"['noise, uproar, clamour.']",2,,
մսխուիլ,verb,"['to be consumed, to be wasted, to be squandered, to be spent.']",2,,
մտածուիլ,verb,"['to be thought, pondered, considered, contemplated.']",2,,
մտաւոր,adjective,"['intellectual, mental, spiritual, clever.']",2,,
մտերմիկ,adjective,['very intimate.'],2,,
մտմտուք,noun,['cogitation.'],2,,
մտրակել,verb,"['to whip, to lash, to horsewhip, to stir; to publicly criticize and condemn the shortcomings of society.']",2,,
մրցադաշտ,noun,['playing field.'],2,,
մրցանք,noun,['palestra; competition.'],2,,
մրցաշարք,noun,"['tournament, a series of contests between a number of competitors, who compete for an overall prize.']",2,,
մրցավայր,noun,"['arena, competition grounds; sports complex.']",2,,
մրցիլ,verb,"['to compete, to combat, to rival, to vie, to strive with, to emulate.']",1,,
մրցոյթ,noun,"['competition, contest.']",2,,
մօտալուտ,adjective,"['imminent, near, impending.']",2,,
մօտաւոր,adjective,"['near, adjacent, next, neighboring, nigh, approaching, proximate; approximate.']",2,,
մօտեցնել,verb,"['to approach, to bring, to near, to draw near, to bring closer in space or time.']",2,,
յագենալ,verb,"['to eat or drink enough to satisfy hunger or thirst; to be satiated; to satisfy passions, to indulge in something until contentment; to be completely filled with something.']",2,,
յածանաւ,noun,['cruiser (a type of warship).'],2,,
յաղթանակ,noun,"['triumph, victory, trophy, laurels; palm.']",2,,
յաղթել,verb,"['to win, to prevail, to overcome, to vanquish, to conquer, to excel, to subdue, to subjugate, to surpass.']",2,,
յաճախ,adjective,"['often, frequently; once and again; frequent, very often, incessant, full, continual.']",1,,
յաճախանք,noun,"['frequency; visit; repetition, return; period; obsession.']",2,,
յաճախել,verb,"['to frequent, to resort to, to haunt, to do often, to visit often; to redouble, to augment, to increase).']",2,,
յաճախորդ,noun,"['customer, client.']",2,,
յամառիլ,verb,"['to persist in, to be obstinate, to become stubborn, to stand to, to insist.']",2,,
յամենալ,verb,"['to delay, to retard, to loiter, to defer, to put off, to lag, to wait for, to stay for.']",2,,
յայնժամ,adverb,"['then, at or in that time.']",2,,
յայտագիր,noun,['program.'],2,,
յայտարար,adjective,"['Declarative, announcing; one who makes public, proclaims, or notifies; Declarer, announcer, declaration; one who expresses or makes known; (Mathematics) The denominator in a common fraction—the number written below the line, showing into how many equal parts the whole is divided.']",2,,
յայտնել,verb,"['to reveal, to declare, to manifest, to expose, to express, to explain, to notify, to signify, to make evident.']",2,,
յանգ,noun,"['term, termination, finish, end, cadence, completion, finishing; rhyme.']",1,,
յանգիլ,verb,"['to come to, to result, to end, to come to an end, to terminate, to finish.']",2,,
յանդգնիլ,verb,"['to dare, to risk, to venture, to adventure, to be bold enough.']",2,,
յանկարծ,adverb,"['at once, all at once, suddenly, unexpectedly, unawares.']",2,,
յանկերգ,noun,"['chorus, words or lines that are repeated at the end of each line or stanza in a poem; refrain, repeated story, something told over and over; a cliché, something overused in speech.']",2,,
յանձնել,verb,"['to give, to intrust, to command, to order, to surrender, to confide, to remit, to deliver.']",2,,
յանցանք,noun,"['fault, guilt, offense, wrong, sin, crime.']",2,,
յապաւել,verb,"['To cut off the branches of a tree; to prune, lop, trim; To weed out, clear away excess plants; To cut off a part of the body; to amputate; To cut or shave hair; To circumcise; To reduce or diminish in general; To shorten or abridge.']",2,,
յաջողիլ,verb,"['to succeed, to achieve, to prosper, to have success, to be successful.']",2,,
յաջորդել,verb,"['to succeed, to follow, to ensue.']",2,,
յառել,verb,['To stretch; to reach out; to extend; to lengthen (especially the hand); To fix one’s eyes motionlessly on a point; to stare; to rivet or fasten one’s gaze.'],1,,
յատակ,noun,"['Ground, earth on which we walk; The bottom of a body of water; the riverbed, seabed; The bottom of a body of water; the riverbed, seabed; The floor — the lower surface of buildings or stories on which people walk or place things; natural ground or covered surface; Figuratively: The underpainting, base layer, or background color of a painting; Depth, bottom.']",1,,
յատկանիշ,noun,['characteristic.'],2,,
յատկապէս,adverb,"['particularly, especially.']",2,,
յատուկ,noun,['Inherent; characteristic; natural to someone or something; Personal; private; one’s own; Special; particular; for a specific purpose; Separate; set apart; Alone; only; by oneself; without accompaniment; Especially; particularly; specifically.'],2,,
յարատեւ,adjective,"['perseverant, perpetual, firm, persevering, steady, resolute.']",2,,
յարգ,noun,"['Value, worth; Honor, esteem, respect; Significance, importance, regard; (Numismatics) The proportion of pure gold or silver contained in a gold or silver coin or object, expressed as a percentage; fineness.']",1,,
յարգալիր,adjective,"['respectful, reverential, deferential.']",2,,
յարգանք,noun,"['respect, veneration, regard, consideration, deference, compliment, esteem.']",2,,
յարգել,verb,"['to venerate, to respect, to honour, to appreciate, to estimate, to esteem.']",2,,
յարգուիլ,verb,"['to be respected, honoured.']",2,,
յարդարել,verb,"['to fit up, to put, to set in order, to arrange, to adjust, to prepare, to make up, to fashion, to furnish, to adorn, to dispose, to accommodate, to accord.']",2,,
յարմարիլ,verb,"[""to agree, to suit, to fit, to match, to be suitable, to be proper for, to conform one's self.""]",2,,
յաւակնիլ,verb,"['to dare, to pretend, to claim, to assume, to arrogate, to presume.']",2,,
յաւելեալ,adjective,"['additional, added, further, augmented, surplus.']",2,,
յափրանալ,verb,"[""to glut, to satiate one's self, to be cloyed; to get tired of, to get sick of, to be disgusted.""]",2,,
յետաձգել,verb,['to postpone.'],2,,
յերիւրել,verb,"['to form, to compose, to make up, to forge, to fabricate, to contrive, to coin, to fudge, to mint.']",2,,
յիշեալ,adjective,"['mentioned, referred to, cited, noted; something or someone that has already been mentioned, spoken of, or referred to.']",2,,
յիշուիլ,verb,"['to be remembered, to be recollected.']",2,,
յղանալ,verb,"[""to conceive, to devise, to imagine, to conceive a child; (figuratively) to conceive an idea or plan in one's mind; to devise or create mentally; to become pregnant.""]",2,,
յղկել,verb,"['To smooth by chiseling; to trim, to polish; To wear away roughness by rubbing with a hard material; to grind, to smooth, to polish; (Figurative) To refine, polish, perfect (one’s style, language); To trim away or correct the negative sides of one’s character; to educate, to cultivate, to morally refine.']",1,,
յղկուիլ,verb,"['To be smoothed by chiseling; to be trimmed, to be polished; To have roughness worn away by rubbing with a hard material; to be ground, to be smoothed, to be polished; (Figurative) To be refined, to be polished, to be perfected (one’s style, language); To have the negative sides of one’s character trimmed away or corrected; to be educated, to be cultivated, to be morally refined.']",2,,
յղփանալ,verb,"['to run over, to overflow, to be filled, to be glutted, to be satisfied, to gloat.']",2,,
յոտնկայս,adverb,"['upright, standing up, risen, on foot.']",2,,
յորդիլ,verb,"['to overflow, to run over, to teem, to abound.']",2,,
յորդոր,adjective,"['ardent, diligent, eager, desirous; exhortation, advice, counsel.']",2,,
յորդորել,verb,"['to exhort, to induce, to incite, to advise, to encourage, to invite.']",2,,
յորձանք,noun,"['stream, vortex, whirling, eddy, surge.']",2,,
յուզել,verb,"['to agitate, to move, to stir up, to put in motion, to disturb, to affect, to touch, to provoke.']",2,,
յուզիչ,adjective,"['touching, moving, affecting, stirring, pathetic.']",2,,
յուզուիլ,verb,"['to be affected, touched, excited, to be moved, to be roused, to be stirred up; to rise, to swell.']",2,,
յումպէտս,adverb,"['in vain, needlessly, uselessly, to no end.']",2,,
յուշ,noun,"['memory, recollection, attention, remembrance: mind, sense, intelligence.']",1,,
յուսախաբ,adjective,"['disappointed, hopeless, desperate, in despair; disappointedly, hopelessly.']",2,,
յուսահատ,adjective,"['hopeless, desperate, in despair.']",2,,
յօդուած,noun,"['articulation, joint, construction, paragraph, paper, article, clause.']",2,,
յօնք,noun,"['The arched, elongated hairs protruding above the eye sockets; eyebrow(s).']",1,,
յօրինել,verb,"['to make, to build, to fashion, to compose, to form, to write, to prepare, to construct, to invent, to organize.']",2,,
նախանձիլ,verb,"['to envy, to be envious of, to be jealous of, to emulate.']",2,,
նախապէս,adverb,"['beforehand, first of all, at first.']",2,,
նախորդել,verb,"['to precede, to be or occur before something or someone else.']",2,,
նախօրեակ,noun,['the day before.'],2,,
նախօրօք,adverb,"['prior, before, previously, from yesterday, beforehand.']",2,,
նայուածք,noun,"['look, glance.']",2,,
նաւակ,noun,"[""boat, bark, barge; ship's-boat, caique.""]",1,,
նեղացնել,verb,"['to make narrow; to vex, to bother, to offend, to give trouble, to worry.']",2,,
նեղուիլ,verb,"['to be uneasy, to grieve, to be troubled, to be constrained, to be afflicted, to ail.']",2,,
նենգամիտ,adjective,"['who thinks deceivingly, who thinks deceiving thoughts, knavish, malicious, rogue, swindler, rascal, insidious.']",2,,
նետուիլ,verb,"[""to fall on, to throw one's self, to fall upon, to dart, to spring, to fling, to rush, to precipitate one's self, to be thrown out; to embark, to venture.""]",2,,
ներապրիլ,verb,"['to live or feel inside, spiritually.']",2,,
ներգոյակ,adjective,"['intrinsic, immanent.']",2,,
ներկայ,noun,"['present, actual; current; the present time; someone who is present.']",2,,
նիւթապէս,adverb,['materially.'],2,,
նկատուիլ,verb,"['to be observed, to be considered, to be regarded, to be noted, to be noticed.']",2,,
նկարագիր,noun,"['character, description, designation, portrait, image, figure, plan, representation.']",2,,
նկարուիլ,verb,"['to be painted, depicted, pictured, photographed.']",2,,
նմանապէս,adverb,"['likewise, similarly, too, also.']",2,,
նմանիլ,verb,"['to be like, to resemble, to conform, to assimilate, to be equal with, to take after, to imitate.']",2,,
նմանցնել,verb,"['to imitate, to resemble, to conform, to counterfeit; to compare, to symbolize.']",2,,
ննջեցեալ,adjective,"['asleep, defunct, deceased, dead.']",2,,
նշանաւոր,adjective,"['famous, remarkable, notable, illustrious, eminent, conspicuous, distinguished.']",2,,
նշոյլ,noun,"['Ray of light; beam; a thin stream or shaft of light; Flash; gleam; a sudden streak or dart of light; Shine; glitter; brilliance; a bright reflection or sparkle; Figuratively — trace; sign; hint, glimmer; a faint indication or vestige of something.']",1,,
նշուիլ,verb,"['to be marked, to be noted, to be pointed out.']",2,,
նոյնիսկ,adverb,['even.'],2,,
նոյնպէս,adverb,"['similarly, likewise, in like manner, in that way; ditto.']",2,,
նորագիր,noun,"['Being newly written, in the process of being written; Recently written, just written; Only recently having become literate, newly literate; New writer, beginner (in writing); Newly registered party member or newly enlisted soldier.']",2,,
նորագիւտ,adjective,['newly discovered; newly invented; recently acquired.'],2,,
նորահաս,noun,"['newly come, newly arrived; just come onto the scene; newly ripened or just matured; sudden or just-arrived (often negative or disruptive events); adolescent, just entering maturity.']",2,,
նորահրաշ,adjective,"['new and wonderful, strange, phenomenal, prodigious, extraordinary, astonishing.']",2,,
նորայայտ,adjective,"['newly emerged, recently discovered; describes something that has recently appeared, been discovered, or become known or visible.']",2,,
նորանկախ,adjective,['newly independent; new and independent.'],2,,
նորանոր,adjective,"['ever more and new, new and following each other many times, continually new.']",2,,
նորատիպ,adjective,['new in kind or nature; newly developed or novel in form; newly printed or published.'],2,,
նորոյթ,noun,"['new items, mode, novelty, innovation, fashion, style.']",2,,
նուագ,noun,"['time, turn.']",1,,
նուագել,verb,"['to play on a musical instrument, to sing, to chant, to execute.']",2,,
նուազիլ,verb,"['to lessen, to decrease, to abate, to dwindle, to diminish, to grow less, to retrench.']",2,,
նուաճել,verb,"['to subdue, to conquer, to subjugate, to submit, to bring under subjection, to subject, to overcome, to vanquish.']",2,,
նուաստ,adjective,"['low, vile, mean, base, servile, inferior, humble, shabby, abject, little, small, subservient.']",2,,
նուէր,noun,"['gift, offering.']",1,,
նուիրեալ,noun,"['consecrated, sainted, devoted.']",2,,
նուիրել,verb,"['to offer, to present, to dedicate, to give, to consecrate, to sacrifice, to vow, to devote.']",2,,
նօսրանալ,verb,"['to become less dense; to dilute; to become thin, rare, coarse, slender, spare.']",2,,
շալկել,verb,"['to shoulder, to put upon the back, to carry anything upon the back.']",2,,
շահիլ,verb,"['to profit, to win, to gain, to benefit, to get on, to obtain, to acquire, to earn.']",1,,
շահուիլ,verb,"['to be won, gained, obtained, acquired, earned.']",2,,
շաղուածք,noun,['kneaded mixture; way of kneading.'],2,,
շառաւիղ,noun,"['radius, sprout, shoot: offset: scion, ray, beam, offspring, spoke.']",2,,
շատնալ,verb,"['to be multiplied, to augment, to multiply, to grow, to increase.']",2,,
շատոնց,adverb,['long ago.'],2,,
շարժակ,noun,['motor.'],2,,
շարժառիթ,noun,"['motive, incentive, incitement, object, cause.']",2,,
շարժավար,noun,"['motorman, driver.']",2,,
շարուիլ,verb,"['to be lined up, to be assembled, to be grouped together, to be arranged; to line up, to form a row, to assemble, to group together.']",2,,
շարունակ,adverb,['Continuous; successive; unbroken; following one after another; Containing; including; having within it; Continuously; without interruption; constantly; one after another.'],2,,
շեշտուիլ,verb,"['to be emphasized, accented, accentuated, stressed, underlined, marked.']",2,,
շերամ,noun,"['(Zoology) A thick-bodied, hairy moth belonging to the family of silkworm moths, which feeds exclusively on white mulberry leaves and, upon reaching maturity, spins a cocoon from an extremely fine thread from which silk is obtained; the silkworm; Silkworm thread; silk.']",1,,
շեփորել,verb,"['to trumpet, to proclaim widely or loudly.']",2,,
շէնք,noun,['building.'],1,,
շիկնիլ,verb,"['to acquire a reddish or flushed color, to turn red, to redden, to grow red; to blush, to turn red from embarrassment or shame.']",2,,
շինուիլ,verb,"['to be make, built, erected, constructed, to be founded.']",2,,
շլանալ,verb,"['to squint; to be infatuated, fascinated, dazzled; to become blunt.']",2,,
շլացնել,verb,"['to squint; to dazzle, to fascinate, to blind; to blunt.']",2,,
շնչահեղձ,adjective,['suffocating; in a state of being out of breath or nearly breathless.'],2,,
շնչասպառ,adjective,"['out of breath, breathless, mortal.']",2,,
շշմեցնել,verb,"['to stupefy, to surprise.']",2,,
շշնջել,verb,"['to whisper, to mutter, to mumble.']",2,,
շոյանք,noun,"['caress, stroke, touch; flaterry.']",2,,
շոյել,verb,"['to pet, to caress, to take great care of, to be fond of, to stroke; to flatter.']",1,,
շուարիլ,verb,"[""to be baffled, puzzled, surprised, confused, astonished, bewildered, disturbed, embarrassed, to be out of one's reckoning.""]",2,,
շրջածիր,noun,['orbit.'],2,,
շրջիլ,verb,"['to walk, to wander, to rove, to cruise; to turn; to turn upside down; to upset; to veer, to be overset.']",1,,
շփանալ,verb,"['to spoil (of a child), to be spoiled, to be depraved.']",2,,
շփացնել,verb,"['to spoil (someone), to deprave, to corrupt, to make worse, to fondle, to pet, to be fond of.']",2,,
շփոթանք,noun,"['disturbance, confusion, disorder, embarrassment, tumult, broil.']",2,,
շփոթիլ,verb,"['to be confounded with, to be mixed up (something) with something else so that the individual elements become difficult to distinguish; to be confused, perplexed; to become disoriented, startled, or taken by surprise; to be dumbfounded, astonished, or shocked; to become emotionally unsettled, distressed, or agitated.']",2,,
շփոթուիլ,verb,"['to be confounded with, to be mixed up (something) with something else so that the individual elements become difficult to distinguish; to be confused, perplexed; to become disoriented, startled, or taken by surprise; to be dumbfounded, astonished, or shocked; to become emotionally unsettled, distressed, or agitated.']",2,,
շօշափել,verb,"['to feel, to palp, to try, to taste, to graze, to touch, to touch lightly, to grope, to handle.']",2,,
ոգեկոչել,verb,"['to evoke, to raise up, to conjure up, to call up (spirit).']",2,,
ոգեւորել,verb,"['to enliven, to encourage, to animate, to impart life to.']",2,,
ոգեւորիչ,adjective,"['inspiring, refreshing, enlivening, encouraging, animating, animator.']",2,,
ողնայար,noun,"['spine, backbone, chine, vertebra, rachis.']",2,,
ողողուիլ,verb,"['to be inundated, to be covered with water, to be submerged, to be flooded; to be rinsed, flushed; to submerge, to inundate, to flood.']",2,,
ոճիր,noun,"['crime, criminal attempt, misdeed, offence, guilt, misdemeanor, felony, villainy, ribaldry.']",1,,
ոճրագործ,adjective,"['criminal, felonious, guilty, ribald; culprit, offender, felon, villain; wretch.']",2,,
ոռոգուիլ,verb,"['to be irrigated, to be watered, to be moistened.']",2,,
ոսկեդար,noun,"['golden age, the golden century; Augustan age.']",2,,
ոսկիանալ,verb,"['to turn into gold, to transform into gold; to take on a golden/yellow hue; (figurative meaning) to ripen and take on a golden appearance.']",2,,
ոտանաւոր,noun,"['having rhyme; verse, rhyme, poem.']",2,,
որակաւոր,adjective,['having good or high quality; qualified.'],2,,
որակեալ,adjective,['qualified.'],2,,
որակել,verb,"['to describe, to qualify.']",2,,
որմանկար,noun,['fresco.'],2,,
որոշուիլ,verb,"['to be decided, distinguished, discerned, determined, defined, resolved, chosen, selected.']",2,,
ուզուիլ,verb,"['to be willed, wished, wanted.']",2,,
ուժանակ,noun,['dynamite; hand grenade.'],2,,
ուծանալ,verb,['To grow cold; to cool toward someone; to become cold in attitude; to become distant or unfriendly toward someone; To drift away from one’s nature or nationality; to become alienated; to become denationalized; to degenerate or assimilate.'],2,,
ուղեգիծ,noun,"['itinerary, route, guide.']",2,,
ուղենիշ,noun,['road sign; guide.'],2,,
ուղեցոյց,noun,"['a guide; one who or that which shows the way, provides direction, or offers instruction; a guidebook – a book showing routes or explaining locations; a manual or instructional guide, often metaphorical – a person or document that serves as an example or advisor.']",2,,
ուղեւոր,noun,"['traveler, passenger, voyager (usually used for those traveling long distances, by carriage, train, or sea); guide, leader.']",2,,
ուղղուիլ,verb,"['to be erected, directed, corrected, to be made straight, to be straightened.']",2,,
ունեւոր,noun,"['rich, monied, wealthy.']",2,,
ուշագրաւ,noun,"[""attracting one's attention, striking, notable, remarkable, marked, engaging, prominent, salient, very interesting.""]",2,,
ուշացնել,verb,"['to delay, to retard, to hinder, to defer, to put off, to prolongate, to belate.']",2,,
ուռեցնել,verb,"['to swell, to puff up, to inflate, to blow out, to bloat.']",2,,
ուռճանալ,verb,"['to be vigorous, flourishing, to be in a prosperous condition, to abound, to develop, to thrive, to grow.']",2,,
ուսանիլ,verb,"['to learn, to study, to be studious of, to be informed of, to instruct, to read.']",2,,
ուսմունք,noun,"['study, studies; doctrine.']",2,,
ուրկէ,adverb,"['where from, whence.']",1,,
չարաշուք,adjective,"['sinister, sorrowful, sad, bad, evil, unfortunate, very ignoble, vile, ferocious, cruel.']",2,,
չարքաշ,adjective,"['hardworking, resilient, enduring, tough; one who has endured hardships, capable of withstanding difficulties and hard work; clever, skillful, experienced.']",2,,
չքմեղանք,noun,"['excuse, apology, an explanation by way of amends.']",2,,
պակսիլ,verb,"['to lessen, to decrease, to diminish; to be wanting; to run short, to lack, to fall short.']",2,,
պահուիլ,verb,"['to be kept, preserved, saved; to hide.']",2,,
պաղատանք,noun,"['supplication, imploration, prayer, instance, entreaty, solicitation, request, invocation; rogation.']",2,,
պաղիլ,verb,"['to feel cold; to grow cold, to cool, to chill, to freeze, to congeal.']",1,,
պայթիլ,verb,"['to burst, to explode, to crack, to rend, to break open.']",2,,
պառակտել,verb,"['to sow discord, to divide, to disunite, to disjoin, to disperse, to put at variance.']",2,,
պառկիլ,verb,"['to lie, to lie down; to sleep; to rest.']",2,,
պատահիլ,verb,"['to happen, to occur; to meet, to meet with; to chance, to befall, to pass upon.']",2,,
պատառիկ,noun,"['fragment, small piece, bit.']",2,,
պատգամել,verb,['To give an order or command to someone; (Figurative) To proclaim; to announce; to declare; (Figurative) To leave as a legacy; to bequeath; to hand down; (Figurative) To entrust to someone’s care; to dedicate; (Religious) To impart or inspire as a precept or sacred message.'],2,,
պատեհ,adjective,"['happening at the right time or place; fitting, suitable, or convenient; appropriate, timely, opportune.']",1,,
պատկանիլ,verb,"['to belong, to concern, to pertain, to relate.']",2,,
պատմուիլ,verb,"['to be told, to be said, to be recounted.']",2,,
պատշաճիլ,verb,"['to agree, to suit, to match, to congrue, to fit, to be suitable, to be proper for.']",2,,
պատուաստ,noun,"['graft, graff; inoculation, vaccination.']",2,,
պատուել,verb,"['to honour, to pay honour, to respect, to venerate, to esteem, to revere.']",2,,
պատրուակ,noun,"['pretext, pretence, cover, mask, disguise, veil, fiction, excuse.']",2,,
պարագայ,noun,['circumstance; related item; relative (family).'],2,,
պարգեւ,noun,"['gift, present.']",2,,
պարգեւել,verb,"['to grant, to give, to make a present, to present with, to donate, to bestow, to endow, to send.']",2,,
պարզապէս,adverb,"['simply, ingenuously, candidly, naively, artlessly, clearly, plainly.']",2,,
պարզուիլ,verb,"['to become clear, to be explained, to be elucidated, to be solved; to unfold, expand.']",2,,
պարունակ,noun,"['something that encompasses or contains another thing, container; socket, orb, sphere, circle, circuit, orbit.']",2,,
պարպել,verb,"['to empty, to unload, to unlade; to pour out; to fire off, to discharge.']",2,,
պարպուիլ,verb,"['to be emptied, to be unloaded, to be discharged; to empty itself.']",2,,
պարտաւոր,adjective,"['One who owes or is obligated; Obligated to do something; responsible; duty-bound; Grateful; indebted (morally or emotionally), especially due to a favor received; (Religious) Morally or spiritually guilty; accountable for a sin.']",2,,
պարտեալ,adjective,"['defeated; the defeated, loser.']",2,,
պարտիլ,verb,"['To owe a debt or obligation; To be bound or obliged to someone; (With an infinitive): to need to, to be necessary, to be required; To be obligated (to do something for someone).']",2,,
պարտուիլ,verb,"['to be conquered, vanquished, defeated, to get beaten.']",2,,
պարփակել,verb,"['to enclose, to contain, to shut in, to encircle, to close, to environ, to encompass, to surround, to envelop.']",2,,
պերճախօս,adjective,"['one who speaks or writes in ornate, elevated, or elegant language; clever and articulate; gifted in expression; (figurative) vivid, expressive, striking; (figurative) convincing, revealing, irrefutable; eloquent speaker.']",2,,
պզտիկուց,adverb,['from childhood.'],2,,
պըտըտիլ,verb,"['to turn about oneself; to complete a circle, to go around in a circle; to walk, to take a walk, to promenade, to stroll, to wander.']",2,,
պիտոյք,noun,"['Need, necessity; the things a person requires for living; What is required for doing or making something; necessary items, supplies.']",2,,
պիւտճէ,noun,['A budget; a preliminary accounting of income and expenditure for a specified period of time.'],2,,
պղտորել,verb,"['to trouble, to muddy, to disturb, to make turbid, to agitate, to mix, to thicken, to cause trouble, to distract.']",2,,
պնդանալ,verb,"['to harden, to become hard, to stiffen, to thicken, to indurate, to toughen, to consolidate.']",2,,
պոռալ,verb,"['to cry, to shout, to exclaim.']",1,,
պոռթկալ,verb,"['to explode, to erupt, to burst, to split, to break out, to protrude.']",2,,
պսակել,verb,"['to crown, to adorn with a crown, to decree a crown, to wreath, to award a prize; to give the nuptial blessing, to marry; to perform the ceremony of marriage.']",2,,
պսակուիլ,verb,"['to be crowned, to wear a crown; to marry, to wed, to get married.']",2,,
պտըտիլ,verb,"['to turn about oneself; to complete a circle, to go around in a circle; to walk, to take a walk, to promenade, to stroll, to wander.']",2,,
պտըտցնել,verb,"['to cause to turn about oneself; to make to go around in a circle, to cause to revolve; to take out for a walk, to take out walking, to take for a stroll.']",2,,
պտտիլ,verb,"['to turn about oneself; to complete a circle, to go around in a circle; to walk, to take a walk, to promenade, to stroll, to wander.']",1,,
պտտցնել,verb,"['to cause to turn about oneself; to make to go around in a circle, to cause to revolve; to take out for a walk, to take out walking, to take for a stroll.']",2,,
պրիսմակ,noun,['prism.'],2,,
պրծիլ,verb,"[""to escape, to get away, to slip out, to evade, to make one's escape, to get rid of, to finish.""]",1,,
պրպտել,verb,"['to scour, to look through, to research for, to examine, to scrutinize.']",2,,
ջախջախել,verb,"['to crush totally, to break to pieces, to crash, to crush, to pound, to bruise, to dash in pieces, to overwhelm.']",2,,
ջախջախիչ,adjective,"['crushing, that breaks to pieces, overwhelming.']",2,,
ջարդուիլ,verb,"['to be cut into pieces, to be shattered, to be smashed; to perish; to be killed, to be massacred, to be butchered.']",2,,
ջլատել,verb,"['to enervate, to unnerve, to enfeeble, to weaken, to cripple, to paralyse.']",2,,
ջնջուիլ,verb,"['to be erased, to disappear; to be wiped or cleaned away; to be destroyed, collapsed, or ruined; to be annihilated, obliterated, exterminated.']",2,,
ջոկատ,noun,"['troop, company, band; military detachment, platoon.']",1,,
ռահվիրայ,noun,"['sapper, pioneer, guide.']",2,,
