title,part_of_speech,definition,suggested_etymology,notes
մահադէմ,adjective,"['pale, wan, pale as death, livid.']",Etymology needs research,
մահազանգ,noun,"['death-knell, death bell.']",Etymology needs research,
մահանալ,verb,['to die.'],Etymology needs research,
մահապարտ,adj,"['condemned to death.', 'person condemned to death.', 'one who carries out a suicide attack, kamikaze, suicide bomber.']",Etymology needs research,
մահացու,adj,"['deadly, mortal, lethal.']",Etymology needs research,
մահկանացու,adj,['mortal.'],Etymology needs research,
մահջոնգ,noun,['mahjong.'],Etymology needs research,
մաղթանք,noun,"['wish, desire.', '(ecclesiastical) prayer.']",Etymology needs research,
մայր մտնել,,['of the sun to set.'],Etymology needs research,
մայրաքաղաք,noun,"['capital, capital city.']",Etymology needs research,
մայրեհավ,noun,"['grouse bird of the subfamily<ref></ref>.', 'grouse (bird of the subfamily Tetraoninae).']",Etymology needs research,
մանիշակ,noun,"['alternative form of մանուշակ.', 'alternative form of մանուշակ (manušak).']",Etymology needs research,
մանկանալ,verb,"['to become young.', 'to regress to childhood.']",Etymology needs research,
մանկապարտեզ,noun,['kindergarten.'],Etymology needs research,
մանկապարտէզ,noun,['kindergarten.'],Etymology needs research,
մանկասայլակ,noun,"['somewhat, formal baby carriage, stroller, pushchair.', '(somewhat formal) baby carriage, stroller, pushchair.']",Etymology needs research,
մանկավարժ,noun,"['pedagogue, educator tutor, teacher, instructor; schoolmaster, preceptor; pedagogic.']",Etymology needs research,
մանվածապատ,adj,"['obscure, indistinct, vague, intricate, convoluted.']",Etymology needs research,
մանրակրկիտ,adj,"['scrupulous, meticulous, minute.', 'scrupulously, meticulously, minutely.']",Etymology needs research,
մանրամասնել,verb,"['to detail, to relate minutely, to specify, to particularize.']",Etymology needs research,
մաշեցնել,verb,"['to abrade, to grind, to wear; to exhaust; to use up, to consume, to waste, to wear out, to cause to deteriorate, to make worse.']",Etymology needs research,
մաշկաթևիկ,adj,"['rare.', '(rare) synonym of մաշկաթև (maškatʻew).', 'synonym of մաշկաթև (maškatʻew).']",Etymology needs research,
մաշուիլ,verb,"['to be used up, consume, wasted, worn out, deteriorated, made worse.']",Etymology needs research,
մառախուղ,noun,"['fog, mist.']",Etymology needs research,
մասնագէտ,noun,['specialist.'],Etymology needs research,
մասնակցել,verb,['to participate.'],Etymology needs research,
մասնաճիւղ,noun,"['branch, branch establishment; speciality.']",Etymology needs research,
մասնայատուկ,adjective,"['specific, special, distinctive, characteristic, peculiar, particulate, singular.']",Etymology needs research,
մասնավոր,adj,"['private, independent.', 'partial, fragmentary.', 'little, insignificant.', 'special, unique.', 'unofficial, nonpublic.', 'personal.', 'individual.', '(Western Armenian) deliberately, on purpose.']",Etymology needs research,
մասնատել,verb,['To break into parts; to divide into sections or pieces.'],Etymology needs research,
մասնատուիլ,verb,['To be divided into parts; to be broken up into sections or pieces.'],Etymology needs research,
մասնաւորաբար,adverb,"['specially, particularly, peculiarly; ad hoc.']",Etymology needs research,
մասնաւորապէս,adverb,"['specially, particularly, peculiarly; ad hoc.']",Etymology needs research,
մատակարարել,verb,"['transitive to provide, to supply, to purvey.', '(transitive) to provide, to supply, to purvey.']",Etymology needs research,
մատենագիր,noun,"['writer, author.', 'writer, author (used for ancient authors).', 'a book written by such authors.']",Etymology needs research,
մատենաշար,noun,['book series.'],Etymology needs research,
մատնանիշ,adjective,"['indicated, pointed out: deceived.']",Etymology needs research,
մատնուիլ,verb,"['to be betrayed, to be subjected to betrayal or denunciation; to be revealed or exposed; to be subjected to hardship or distress.']",Etymology needs research,
մատնվել,verb,['mediopassive of մատնել (matnel).'],Etymology needs research,
մատույց,noun,"['approach, access.', 'environs.']",Etymology needs research,
մատուտակ,noun,"['licorice, gen. et spp.', 'licorice, Glycyrrhiza gen. et spp.']",Etymology needs research,
մատուցանել,verb,"['To bring near; to approach; To give by hand, present, offer, or gift; To serve or give; o offer as a sacrifice; to sacrifice.']",Etymology needs research,
մատուցել,verb,"['to give.', 'to serve.']",Etymology needs research,
մատուցուիլ,verb,"['To be brought near / approached; To be given by hand, presented, offered, or gifted; To be served or given; To be offered as a sacrifice / to be sacrificed.']",Etymology needs research,
մարաջախտ,noun,"['historical marshal, chief commander.', '(historical) marshal, chief commander.']",Etymology needs research,
մարգարե,noun,['prophet.'],Etymology needs research,
մարգարտահուռ,adj,['adorned with pearls.'],Etymology needs research,
մարդագայլ,noun,"['mythology werewolf.', '(mythology) werewolf.', 'hyena.']",Etymology needs research,
մարդաշատ,adj,"['populous, multitudinous, inhabited.']",Etymology needs research,
մարդկանց,noun,['dative plural of մարդ (mard).'],Etymology needs research,
մարդուժ,noun,"['manpower, workforce, human resources; the available supply of human labor, workers, or personnel.']",Etymology needs research,
մարզախաղ,noun,"['athletic game, tournament game; athletics.']",Etymology needs research,
մարզանք,noun,"['gymnastics, exercise, drill.']",Etymology needs research,
մարզուիլ,verb,"['to be educated, instructed, prepared, trained; to be drilled; to gain experience; to train physically, to exercise.']",Etymology needs research,
մարմնակրթանք,noun,"['gymnastics, physical training, athletics, bodily exercise.']",Etymology needs research,
մարմնանալ,verb,"['to become incarnate, to be embodied, to take the human nature.']",Etymology needs research,
մարմնացնել,verb,"['to corporify, to embody, to incarnate, to incorporate, to invest with a material body.']",Etymology needs research,
մարմնաւորել,verb,"['to embody, to corporify, to incarnate, to incorporate, to enflesh.']",Etymology needs research,
մարմնեղ,adj,"['portly, round, plump.']",Etymology needs research,
մարտահրաւէր,noun,['an invitation to fight; challenge.'],Etymology needs research,
մարտարվեստ,noun,['martial art.'],Etymology needs research,
մարտիրոս,noun,['martyr.'],Etymology needs research,
մարտկոց,noun,"['military battery coordinated group of artillery.', '(military) battery (coordinated group of artillery).', '(electricity) battery (device for storing electricity).']",Etymology needs research,
մաքառել,verb,"['somewhat, formal to fight, to struggle, to clash.', '(somewhat formal) to fight, to struggle, to clash.', '(somewhat formal) to oppose, to withstand, to resist.']",Etymology needs research,
մաքրագործել,verb,"['to purify, to cleanse, to purge, to depurate, to clear, to rid; to exterminate, to annihilate.']",Etymology needs research,
մեծաբանել,verb,"['to talk big, to boast.', 'to speak cockily, to threaten.']",Etymology needs research,
մեծագործ,adjective,"['magnificent, generous, gorgeous, noble, ostentatious, grand, splendid, superb, grandiose, imposing.']",Etymology needs research,
մեծագումար,adjective,"['representing a large sum; costly, expensive; numerous.']",Etymology needs research,
մեծադիր,adjective,['large formed.'],Etymology needs research,
մեծաթիւ,adjective,"['numerous, various, multifarious.']",Etymology needs research,
մեծածաւալ,adjective,"['having a large volume, extent, size, enormous, massive, voluminous.']",Etymology needs research,
մեծահասակ,adj,"['adult.', 'of lofty stature, tall.', 'grown-up, adult.']",Etymology needs research,
մեծամիտ,adj,"['bigheaded, arrogant, conceited, proud.']",Etymology needs research,
մեծայարգ,adjective,['Highly respected; greatly esteemed; very honorable.'],Etymology needs research,
մեծանալ,verb,"['intransitive to grow, to rise, to increase in stature, size, age, etc.', '(intransitive) to grow, to rise, to increase (in stature, size, age, etc.).']",Etymology needs research,
մեծաշուք,adj,"['very splendid, magnificent, opulent.', 'very respected, venerable, eminent.', 'splendidly, magnificently.']",Etymology needs research,
մեծապէս,adverb,"['greatly, considerably.']",Etymology needs research,
մեծատաղանդ,noun,['Highly talented; greatly gifted; possessing great talent.'],Etymology needs research,
մեծատառ,adj,"['capital letter, capital, uppercase letter.', 'capital, uppercase (of letters).']",Etymology needs research,
մեծարանք,noun,"['homage, honouring.']",Etymology needs research,
մեծարգո,adj,"['honourable, respectable.', '(in letters) dear.']",Etymology needs research,
մեծացած,verb,['resultative participle of մեծանալ (mecanal).'],Etymology needs research,
մեծացնել,verb,"['to increase, to enlarge, to amplify, to magnify.', 'to raise, to rear.', 'causative of մեծանալ (mecanal).']",Etymology needs research,
մեծաքիթ,adj,['big-nosed (having a large nose).'],Etymology needs research,
մեկնակէտ,noun,['starting point.'],Etymology needs research,
մեկնարկ,noun,"['start, starting point beginning point of a distance race or a process.', 'start, starting point (beginning point of a distance race or a process).']",Etymology needs research,
մեկուսանալ,verb,"['intransitive to retire; to withdraw, to go away, to retreat.', '(intransitive) to retire; to withdraw, to go away, to retreat.']",Etymology needs research,
մեկուսացնել,verb,"['to set aside, to keep away, to isolate, to separate, to place farther off, to open, to hold apart, to disperse, to discard, to seclude.']",Etymology needs research,
մեկուսացուիլ,verb,"['to be isolated, secluded, set aside, separated, kept away.']",Etymology needs research,
մեկտեղանոց,adj,"['single, designed for the use of only one.']",Etymology needs research,
մեհևանդ,noun,"['bracelet, armlet, bangle.']",Etymology needs research,
մեղադրանք,noun,"['accusation.', 'blame, guilt.']",Etymology needs research,
մեղադրել,verb,"['to accuse.', 'to blame.']",Etymology needs research,
մեղանչել,verb,"['to sin, to transgress.']",Etymology needs research,
մեղավոր,adj,"['guilty.', 'sinful.']",Etymology needs research,
մեղաւոր,adjective,"['one who has sinned, who has transgressed divine law, sinful, sinner; culprit, offender; the cause of an evil or harm.']",Etymology needs research,
մեղմանալ,verb,"['to become soft, moderate, mild, to get milder, temperate, to grow cool, to be assuaged, to relax, to soften.']",Etymology needs research,
մենամարտ,noun,['duel.'],Etymology needs research,
մենավոր,adj,"['solitary, alone.', 'solitary, hermit, recluse.']",Etymology needs research,
մեներգել,verb,['to sing solo.'],Etymology needs research,
մեռելաքաղաք,noun,['necropolis.'],Etymology needs research,
մեռելոց,noun,"[""All Souls' Day, Decoration Day.""]",Etymology needs research,
մետաղեայ,adjective,"['metallic, of metal.']",Etymology needs research,
մետաքսյա,adj,"['silken, silk.']",Etymology needs research,
մերժուիլ,verb,"['to be refused, to be rejected, to abstain from, to be driven out.']",Etymology needs research,
մերկանալ,verb,"['intransitive to undress oneself, to strip, to strip naked.', '(intransitive) to undress oneself, to strip, to strip naked.']",Etymology needs research,
մերկացնել,verb,"['to disrobe, to undress; to uncover, to reveal; to divest.']",Etymology needs research,
մերձավոր,adj,"['near, close.', 'related, akin, familiar.', 'relative, kinsperson.']",Etymology needs research,
մերձաւոր,adjective,"['Nearby, close in location; located near or close by; Close in time; near in temporal proximity; Relative, kin, close friend, intimate person.']",Etymology needs research,
մերձուստ,adverb,['from near.'],Etymology needs research,
մերօրեայ,adjective,"['of our days, of our times, modern, current, contemporary.']",Etymology needs research,
մեքենագէտ,noun,"['mechanician, mechanic, machinist, engineer.']",Etymology needs research,
մէկտեղել,verb,"['to bring to one place, to gather in one place, to rally, to join, to combine, to lump.']",Etymology needs research,
մէկտեղուիլ,verb,"['to brought to one place, to be gathered in one place, to be rallied, to be combined, to be lumped.']",Etymology needs research,
մէջբերել,verb,"['to quote, to cite, to mention; to mention or refer to something; to bring up; to make a quotation from a statement or written source; to cite as evidence or reference.']",Etymology needs research,
մէջբերուիլ,verb,"['to be quoted, to be cited, to be mentioned.']",Etymology needs research,
մըշըղուլ,noun,"[', without an etymology and glossing as “mouse-like animal”.', 'weasel.']",Etymology needs research,
մթագնել,verb,"['to obscure, to obfuscate, to fog, to darken, to dim, to shade, to shadow.']",Etymology needs research,
մթագնիլ,verb,"['to grow dim, to darken, to become dark, to become obscure, to be obfuscated.']",Etymology needs research,
մթերանոց,noun,"['pantry, shed, storeroom.']",Etymology needs research,
միաբանիլ,verb,['To unite in speech or opinion; to come to agreement; to agree; To be in harmony; to correspond; to coincide; (Religious) To become a monk of the monastery; to join the monastic brotherhood.'],Etymology needs research,
միաժամանակ,adv,['at the same time.'],Etymology needs research,
միահամուռ,adj,"['collective, united.', 'collectively, together.']",Etymology needs research,
միայնակ,adj,"['lonely.', 'alone; lonely.']",Etymology needs research,
միանուագ,adjective,['One-time; single-occurrence; non-recurring; All at once; in a single installment; in one go.'],Etymology needs research,
միասիրտ,adj,"['of one mind, unanimous.']",Etymology needs research,
միավորված,verb,['resultative participle of միավորվել (miavorvel).'],Etymology needs research,
միավորվել,verb,['mediopassive of միավորել (miavorel).'],Etymology needs research,
միատարր,adj,['homogeneous.'],Etymology needs research,
միացեալ,adjective,['united.'],Etymology needs research,
միացյալ,adj,"['united, joint.']",Etymology needs research,
միացնել,verb,"['transitive to join, to unite, to connect.', 'causative of միանալ (mianal).', '(transitive) to join, to unite, to connect.', '(transitive) to switch on, to power up, to enable (to put a device, system or mechanism into operation).']",Etymology needs research,
միեղջյուր,noun,['unicorn.'],Etymology needs research,
միլիոնաւոր,noun,['numbered in the millions; the seventh digit in a number when counting from the right.'],Etymology needs research,
միմյանց,pron,"['reciprocal each other, one another.', '(reciprocal) each other, one another.']",Etymology needs research,
մինարեթ,noun,['minaret.'],Etymology needs research,
մինչդեռ,adv,"['meanwhile.', 'whereas, while.']",Etymology needs research,
միջադէպ,noun,"['incident, occurrence.']",Etymology needs research,
միջակետ,noun,"['the name of the <․> sign, used as a semicolon in Armenian and also for marking abbreviations.']",Etymology needs research,
միջամտել,verb,"['transitive to interfere, intervene, meddle.', '(transitive) to interfere, intervene, meddle.']",Etymology needs research,
միջնաբերդ,noun,['citadel.'],Etymology needs research,
միօրեայ,adjective,['lasting or relating to a period of one day; occurring once every day; one-day-old.'],Etymology needs research,
մխիթարանք,noun,"['comfort, consolation, solace, ease, alleviation, mitigation.']",Etymology needs research,
մխիթարել,verb,"['to console, to comfort, to soothe.', 'to encourage, to hearten.', 'to cheer, to uplift, to make happy.']",Etymology needs research,
մխրճուիլ,verb,"['to be immersed, submerged, plunged, doused, to be sunk.']",Etymology needs research,
մկնականջ,noun,"['pimpernel, <ref name=Busanun></ref>.', 'pimpernel, Anagallis.', 'forget-me-not, Myosotis.']",Etymology needs research,
մկնաքիս,noun,['an unclean animal variously translated as field mouse or shrewmouse.'],Etymology needs research,
մկրտուիլ,verb,"['to be baptized, to receive baptism, to be christened.']",Etymology needs research,
մղձաւանջ,noun,['nightmare.'],Etymology needs research,
մնացեալ,adjective,"['what is left, what remains; the rest, remaining.']",Etymology needs research,
մնացորդ,adj,"['remainder, remnant, remains.', 'leftovers (of food).', 'trace, vestige, residue.', '(mathematics) difference (in subtraction).', '(mathematics) remainder (in division).', 'surplus, surfeit, excess.', 'remaining.']",Etymology needs research,
մշակոյթ,noun,['culture.'],Etymology needs research,
մշակուիլ,verb,"['to be cultivated, cultured, tilled, studied, improved, exercised, practiced.']",Etymology needs research,
մշտախօս,adjective,"['continuously speaking, singing.']",Etymology needs research,
մշտահոս,adjective,"['always flowing, everflowing, inexhaustible.']",Etymology needs research,
մշտանորոգ,adjective,"['describes something that is constantly being renewed or continuously refreshed; ever-changing or perpetually evolving, dynamic, not static.']",Etymology needs research,
մոլախոտ,noun,"['weed any plant unwanted at the place where and at the time when it is growing.', 'weed (any plant unwanted at the place where and at the time when it is growing).']",Etymology needs research,
մոլեգնաբար,adverb,['Furiously; violently; wildly; beyond all bounds.'],Etymology needs research,
մոլեգնել,verb,"['intransitive to be angered, enraged, infuriated.', '(intransitive) to be angered, enraged, infuriated.', '(intransitive, figuratively) to be exacerbate, aggravated, exasperated.', '(intransitive, figuratively) to be irritated, annoyed, bothered.', '(intransitive, dated) to be overcome by compulsion or obsession.']",Etymology needs research,
մոլեռանդ,adjective,"['fanatic, fanatical, bigot, intolerant, rabid, zealot, zealous.']",Etymology needs research,
մոլորակ,noun,"['astronomy planet.', '(astronomy) planet.']",Etymology needs research,
մոլորանք,noun,"['straying, wandering, error, aberration, seduction, aberrance.']",Etymology needs research,
մոլորվել,verb,"[""to become lost, to get lost, to lose one's way."", 'to become confused, to get confused.', '(figuratively) to go the wrong way, to follow the wrong path.']",Etymology needs research,
մոխրանալ,verb,"['to turn into ash, become ash, burn down completely; to be extinguished, die out, go dark; to vanish, disappear, be annihilated; to fade away, cease to exist; to become earth, return to dust; to be destroyed, reduced to ruins.']",Etymology needs research,
մոխրացնել,verb,"['to turn (something) into ashes; to reduce to ash, to incinerate, to burn to dust; to make to vanish, disappear, to annihilate; to destroy.']",Etymology needs research,
մոռցնել,verb,['to cause to forget.'],Etymology needs research,
մոռցուիլ,verb,['to be forgotten.'],Etymology needs research,
մոտաբնակ,adj,"['neighboring, adjacent (living nearby).']",Etymology needs research,
մոտագնաց,adj,"['passing through a nearby location.', 'going to a nearby location.']",Etymology needs research,
մոտալուտ,adj,"['imminent, impending, looming (about to happen, very close in time).']",Etymology needs research,
մոտավոր,adj,"['proximate, nearby, close by.', '(rare) proximate, nearby, close by.', 'familiar, familial, close (of relationships).', 'close, near, soon (of time).', 'approximate.', '(rare) proximity, vicinity, nearness.']",Etymology needs research,
մոտավորել,verb,"['to approximate, to approach.']",Etymology needs research,
մորաքույր,noun,"['maternal aunt.', 'madam, lady (a polite way of addressing a middle-aged woman).']",Etymology needs research,
մորաքրոջ,noun,['dative singular of մորաքույր (morakʻuyr).'],Etymology needs research,
մորեղբայր,noun,['maternal uncle.'],Etymology needs research,
մույուք,noun,"['dialectal alternative form of մորուք.', '(dialectal) alternative form of մորուք (morukʻ).']",Etymology needs research,
մուրացիկ,adj,"['beggar, mendicant.', 'given to begging, mendicant.', 'begged, obtained by begging.', 'as a beggar.']",Etymology needs research,
մսագործ,noun,['butcher.'],Etymology needs research,
մսխուիլ,verb,"['to be consumed, to be wasted, to be squandered, to be spent.']",Etymology needs research,
մտագրոհ,noun,"['neologism brainstorming.', '(neologism) brainstorming.']",Etymology needs research,
մտադրել,verb,"['to be intent on doing, to have the intention of doing.']",Etymology needs research,
մտածուիլ,verb,"['to be thought, pondered, considered, contemplated.']",Etymology needs research,
մտահոգել,verb,"['transitive to cause anxiety, to disquiet, to worry.', '(transitive) to cause anxiety, to disquiet, to worry.']",Etymology needs research,
մտահոգուիլ,verb,"['to worry, to be worried, to get alarmed.']",Etymology needs research,
մտահոգված,verb,['resultative participle of մտահոգվել (mtahogvel).'],Etymology needs research,
մտապահել,verb,"['to remember, to memorize.']",Etymology needs research,
մտատանջել,verb,"['to torment the mind, to deeply worry, to oppress mentally, to trouble the mind, to cause deep concern, distress, or mental burden.']",Etymology needs research,
մտատանջուիլ,verb,"['to be tormented in thought, to be deeply worried, to suffer from mental distress, to be troubled or burdened by thoughts.']",Etymology needs research,
մտաւորապէս,adverb,"['mentally, intellectually.']",Etymology needs research,
մտերմաբար,adverb,"['intimately, cordially, confidently, in confidence.']",Etymology needs research,
մտերմանալ,verb,"['to become intimate, familiarized, to have an affection for, to be attached, to make friends with.']",Etymology needs research,
մտերմիկ,adjective,['very intimate.'],Etymology needs research,
մտմտուք,noun,['cogitation.'],Etymology needs research,
մտրակել,verb,"['to whip, to lash, to horsewhip, to stir; to publicly criticize and condemn the shortcomings of society.']",Etymology needs research,
մրմունջ,noun,"['low utterance, whisper.', 'whispered lamentation.']",Etymology needs research,
մրջնառյուծ,noun,['antlion.'],Etymology needs research,
մրցադաշտ,noun,['playing field.'],Etymology needs research,
մրցաշարք,noun,"['tournament, a series of contests between a number of competitors, who compete for an overall prize.']",Etymology needs research,
մրցավայր,noun,"['arena, competition grounds; sports complex.']",Etymology needs research,
մօտալուտ,adjective,"['imminent, near, impending.']",Etymology needs research,
մօտաւոր,adjective,"['near, adjacent, next, neighboring, nigh, approaching, proximate; approximate.']",Etymology needs research,
մօտաւորապէս,adverb,"['about, approximately, approximatively.']",Etymology needs research,
մօտեցնել,verb,"['to approach, to bring, to near, to draw near, to bring closer in space or time.']",Etymology needs research,
յագենալ,verb,"['to eat or drink enough to satisfy hunger or thirst; to be satiated; to satisfy passions, to indulge in something until contentment; to be completely filled with something.']",Etymology needs research,
յածանաւ,noun,['cruiser (a type of warship).'],Etymology needs research,
յաղթահարել,verb,"['to overcome, to vanquish, to subdue, to conquer, to beat, to knock down, to throw to the ground.']",Etymology needs research,
յաղթահարուիլ,verb,"['to be overcome, conquered, subdued, beaten, overpowered.']",Etymology needs research,
յաղթանակ,noun,"['triumph, victory, trophy, laurels; palm.']",Etymology needs research,
յաղթանակել,verb,"['to triumph, to win the victory, to have the advantage, to surpass, to preponderate.']",Etymology needs research,
յաճախանք,noun,"['frequency; visit; repetition, return; period; obsession.']",Etymology needs research,
յաճախել,verb,"['to frequent, to resort to, to haunt, to do often, to visit often; to redouble, to augment, to increase).']",Etymology needs research,
յաճախորդ,noun,"['customer, client.']",Etymology needs research,
յամառիլ,verb,"['to persist in, to be obstinate, to become stubborn, to stand to, to insist.']",Etymology needs research,
յամենալ,verb,"['to delay, to retard, to loiter, to defer, to put off, to lag, to wait for, to stay for.']",Etymology needs research,
յայնժամ,adverb,"['then, at or in that time.']",Etymology needs research,
յայսմաւուրք,noun,"['lectionary of the lives of saints, hagiography, menology, martyrology, legends.']",Etymology needs research,
յայտագիր,noun,['program.'],Etymology needs research,
յայտարար,adjective,"['Declarative, announcing; one who makes public, proclaims, or notifies; Declarer, announcer, declaration; one who expresses or makes known; (Mathematics) The denominator in a common fraction—the number written below the line, showing into how many equal parts the whole is divided.']",Etymology needs research,
յայտարարել,verb,"['to declare, to proclaim, to state.']",Etymology needs research,
յայտարարուիլ,verb,"['to be declared, stated, proclaimed.']",Etymology needs research,
յայտնաբերել,verb,"['to discover, to find, to reveal.']",Etymology needs research,
յայտնաբերուիլ,verb,"['to be discovered, found, revealed.']",Etymology needs research,
յայտնագործել,verb,"['to discover, to find, to reveal.']",Etymology needs research,
յայտնապէս,adverb,"['clearly, plainly, distinctly, evidently, publicly, manifestly, openly.']",Etymology needs research,
յայտնել,verb,"['to reveal, to declare, to manifest, to expose, to express, to explain, to notify, to signify, to make evident.']",Etymology needs research,
յայտնուիլ,verb,"[""to manifest one's self, to uncover one's self; to come to light, to come out, to appear; to be discovered, to be revealed; to be expressed; to transpire.""]",Etymology needs research,
յանդգնիլ,verb,"['to dare, to risk, to venture, to adventure, to be bold enough.']",Etymology needs research,
յանդիմանել,verb,"['to scold, to chide, to reprimand, to reproach, to reprehend.']",Etymology needs research,
յանկարծ,adverb,"['at once, all at once, suddenly, unexpectedly, unawares.']",Etymology needs research,
յանկերգ,noun,"['chorus, words or lines that are repeated at the end of each line or stanza in a poem; refrain, repeated story, something told over and over; a cliché, something overused in speech.']",Etymology needs research,
յանձնախումբ,noun,"['committee, board.']",Etymology needs research,
յանձնարարել,verb,"['to commend, to recommend, to commission, to commit, to delegate, to accredit.']",Etymology needs research,
յանձնել,verb,"['to give, to intrust, to command, to order, to surrender, to confide, to remit, to deliver.']",Etymology needs research,
յանձնուիլ,verb,"[""to be given to; to surrender, to deliver one's self up, to confide.""]",Etymology needs research,
յանցանք,noun,"['fault, guilt, offense, wrong, sin, crime.']",Etymology needs research,
յանցապարտ,noun,"['guilty, culpable, culprit, blameworthy; criminal.']",Etymology needs research,
յապաւել,verb,"['To cut off the branches of a tree; to prune, lop, trim; To weed out, clear away excess plants; To cut off a part of the body; to amputate; To cut or shave hair; To circumcise; To reduce or diminish in general; To shorten or abridge.']",Etymology needs research,
յաջողապէս,adverb,['successfully; skillfully.'],Etymology needs research,
յաջողիլ,verb,"['to succeed, to achieve, to prosper, to have success, to be successful.']",Etymology needs research,
յաջորդաբար,adverb,"['by turns, successively, consecutively, on end; off the reel.']",Etymology needs research,
յաջորդել,verb,"['to succeed, to follow, to ensue.']",Etymology needs research,
յառաջանալ,verb,"['to advance, to proceed, to go forward, to get along, to progress, to forge, to gain ground, to inch.']",Etymology needs research,
յառաջացեալ,adjective,['advanced.'],Etymology needs research,
յառաջացնել,verb,"['to bring forward, to advance; to make, to generate; to improve, to develop, to further, to promote, to enhance.']",Etymology needs research,
յառաջդիմել,verb,"['to progress, to get on, to improve, to forego, to advance, to get before, to march on, to proceed.']",Etymology needs research,
յառաջընթաց,adjective,"['Going in front; leading the way; pioneering, vanguard; Preceding; prior, preceding in order or stage; Advancing, growing, developing; progressive; Advancement; forward movement; progress; One who goes in front; a leader, forerunner, vanguard; (Figurative) Development, advancement, upward movement; progress, improvement; Advance, forward march; forward progression; Harbinger; sign or indication (of what is to come).']",Etymology needs research,
յատակագիծ,noun,"['project, plan, scheme, floor plan, layout.']",Etymology needs research,
յատկանիշ,noun,['characteristic.'],Etymology needs research,
յատկանշել,verb,['to characterize.'],Etymology needs research,
յատկանշուիլ,verb,['to be characterized.'],Etymology needs research,
յատկապէս,adverb,"['particularly, especially.']",Etymology needs research,
յատկացուիլ,verb,"['to be consigned, alloted, allocated, to be set aside, to be appropriated, adapted, fitted.']",Etymology needs research,
յարաբերաբար,adverb,"['relatively, respectively.']",Etymology needs research,
յարատեւ,adjective,"['perseverant, perpetual, firm, persevering, steady, resolute.']",Etymology needs research,
յարատեւել,verb,"['to persevere, to be steadfast, to persist, to stand to.']",Etymology needs research,
յարափոփոխ,adjective,"['continuously changing, variable, ever-changing, constantly changing.']",Etymology needs research,
յարգալիր,adjective,"['respectful, reverential, deferential.']",Etymology needs research,
յարգանք,noun,"['respect, veneration, regard, consideration, deference, compliment, esteem.']",Etymology needs research,
յարգուիլ,verb,"['to be respected, honoured.']",Etymology needs research,
յարդարել,verb,"['to fit up, to put, to set in order, to arrange, to adjust, to prepare, to make up, to fashion, to furnish, to adorn, to dispose, to accommodate, to accord.']",Etymology needs research,
յարձակող,verb,['subject participle of յարձակիլ (yarjakil).'],Etymology needs research,
յարմարիլ,verb,"[""to agree, to suit, to fit, to match, to be suitable, to be proper for, to conform one's self.""]",Etymology needs research,
յարմարցնել,verb,"['to adapt, to apt, to adjust, to conform, to accommodate, to sort, to arrange, to apply, to harmonize, to make it fit or suitable.']",Etymology needs research,
յաւակնիլ,verb,"['to dare, to pretend, to claim, to assume, to arrogate, to presume.']",Etymology needs research,
յաւելեալ,adjective,"['additional, added, further, augmented, surplus.']",Etymology needs research,
յաւերժանալ,verb,"['to last forever, to be perpetuated, to be rendered eternal.']",Etymology needs research,
յաւերժացնել,verb,"['to eternize, to eternalize, to perpetuate, to immortalize.']",Etymology needs research,
յաւէրժանալ,verb,"['to last forever, to be perpetuated, to be rendered eternal.']",Etymology needs research,
յաւիտենապէս,adverb,"['eternally, forever, permanently, everlastingly.']",Etymology needs research,
յափշտակել,verb,"['to seize, to ravish, to snatch, to accroach, to plunder, to carry off by force, to bear off, to usurp, to rob, to pillage.']",Etymology needs research,
յափշտակուիլ,verb,"['To be snatched, to be taken away; To be transported in mind, to be enraptured, mesmerized; Of a woman or girl): to be abducted, to be carried off.']",Etymology needs research,
յափրանալ,verb,"[""to glut, to satiate one's self, to be cloyed; to get tired of, to get sick of, to be disgusted.""]",Etymology needs research,
յեղաշրջել,verb,"['to turn upside down, to intervert, to upset, to subvert, to revolution, to overthrow.']",Etymology needs research,
յետադիմել,verb,"['to turn backward, to move back step by step, to deteriorate instead of improving, to regress, to decline, to fall behind.']",Etymology needs research,
յետաձգել,verb,['to postpone.'],Etymology needs research,
յերիւրել,verb,"['to form, to compose, to make up, to forge, to fabricate, to contrive, to coin, to fudge, to mint.']",Etymology needs research,
յիշատակել,verb,"['to mention, to cite, to remember, to memorize, to make mention of, to commemorate, to name, to put in mind.']",Etymology needs research,
յիշատակուիլ,verb,"['to be mentioned, cited, remembered, memorized, made mention of, commemorated, named, to be put in mind.']",Etymology needs research,
յիշուիլ,verb,"['to be remembered, to be recollected.']",Etymology needs research,
յիսնամեակ,noun,['50-year period; 50-year commemoration; 50th year celebration.'],Etymology needs research,
յիսնամեայ,adjective,['lasting 50 years; 50 years old.'],Etymology needs research,
յղկուիլ,verb,"['To be smoothed by chiseling; to be trimmed, to be polished; To have roughness worn away by rubbing with a hard material; to be ground, to be smoothed, to be polished; (Figurative) To be refined, to be polished, to be perfected (one’s style, language); To have the negative sides of one’s character trimmed away or corrected; to be educated, to be cultivated, to be morally refined.']",Etymology needs research,
յղփանալ,verb,"['to run over, to overflow, to be filled, to be glutted, to be satisfied, to gloat.']",Etymology needs research,
յոգնեցուցիչ,adjective,"['tiring, tiresome, exhausting, wearisome, fatiguing, tedious, toilsome, irksome.']",Etymology needs research,
