title,part_of_speech,definition,current_etymology,priority
ցուցադրութիւն,noun,"['exposition, laying out, exhibition, display, show.']",,3
ցուցադրուիլ,verb,"['to be exposed, displayed, to be shown, to be exhibited.']",,3
ցուցահանդէս,noun,"['exhibition, show, fair.']",,3
ցուցամոլութիւն,noun,"['ostentation, vainglory, ostentatiousness, snobbishness, pretentious display, pretentiousness.']",,3
ցրօնք,noun,['dispersion.'],,1
ցցել,verb,"['To thrust into something like a stake, to stick or embed upright, to pierce or plant firmly; To se",,1
ցցուիլ,verb,['To be thrust or driven into something like a stake; to be stuck upright; To be made to stand erect,,2
փախիլ,verb,"['to flee, to escape, to get away, to run away, to fly, to take flight, to desert, to fly off.']",,1
փակուիլ,verb,"['to be shut, to be closed; to end, to come to a conclusion; to be disrupted, to be shut down; to wi",,2
փակումն,noun,"['shutting, closing, closure, cloture; atresia.']",,2
փայլեցնել,verb,"['to make to shine, to glitter, to polish, to give a lustre, to brighten, to illuminate.']",,3
փայլիլ,verb,"['to shine, to sparkle, to twinkle, to glitter, to glisten, to irradiate, to radiate.']",,2
փաշայ,noun,"['pasha, the title of a Turkish officer of high rank.']",,1
փառաբանել,verb,"['to glorify, to give glory to, to praise, to extol, to doxologize, to laud.']",,3
փառաշուք,adjective,"['glorious and splendid; majestic, lavish; celebrated or carried out with great glory and grandeur; ",,2
փառասէր,adjective,"['loving fame, seeking glory; someone who does things to be praised or honored; vain, boastful, obse",,2
փառասիրութիւն,noun,"['ambition, ambitiousness, fond of glory, love of glory, vanity.']",,3
փառատօն,noun,"['festival, feast day.']",,2
փառաւոր,adjective,"['glorious, illustrious, eminent, magnificent, gorgeous, sumptuous, maestoso, stately, majestic, spl",,2
փառաւորել,verb,"['to glorify, to honor, to exalt, to make glorious, to elevate in honor, to make renowned; to praise",,3
փաստօրէն,adverb,"['in fact, actually, de facto, practically; describes something that is true in reality or in practi",,2
փարատել,verb,"['to dissipate, to disperse, to scatter, to dispel, to avert, to make to disappear, to do away with.",,2
փարատիլ,verb,"['to scatter or vanish; to fade away or disappear; to disperse; to clear up, to be dispelled, for a ",,2
փարիզաբնակ,adjective,"['who lives in Paris, a native of Paris.']",,3
փափագելի,adjective,"['desirable, to be wished-for, covetable, expedient, appetible.']",,2
փափագիլ,verb,"['to desire, to want, to envy, to long for, to wish for.']",,2
փափաք,noun,"['wish, desire, eagerness, longing.']",,1
փափաքելի,adjective,"['desirable, to be wished-for, covetable, expedient, appetible.']",,2
փափաքիլ,verb,"['to desire, to want, to envy, to long for, to wish for.']",,2
փափկանկատ,adjective,"['delicate, tactful, having tact, considerate.']",,3
փափկանկատութիւն,noun,"['delicacy, refinement, tact, delicate skill in saying and doing.']",,3
փետրուար,noun,['February.'],,2
փետրուարեան,adjective,['relating to or occurring during the month of February.'],,3
փերեզակութիւն,noun,"[""haberdashery, peddler's business, mercery.""]",,3
փիլիսոփայական,adjective,['philosophical; relating to a philosopher; having the qualities of a philosopher; pertaining to phi,,3
փիլիսոփայութիւն,noun,"['philosophy, love of wisdom.']",,3
փլուզումն,noun,"['collapse, falling down, falling in, fall, sinking, eboulement, ruin, break-down.']",,3
փճանալ,verb,"['to become useless; to decay, to perish, to be annihilated, to be destroyed; to be spoiled; to come",,2
փճացնել,verb,"['to ruin, to destroy, to annihilate, to eradicate, to nullify; to massacre.']",,2
փնտռուիլ,verb,"['To be searched for, to be sought; To be inquired into, to be asked about, to be investigated; To b",,2
փշրիլ,verb,"['փշրուիլ, փշրիլ (to break, to be broken to pieces, to dash, to split.']",,1
փշրուիլ,verb,"['փշրուիլ, փշրիլ (to break, to be broken to pieces, to dash, to split.']",,2
փոխաբերաբար,adverb,"['figuratively, metaphorically.']",,3
փոխադարձաբար,adverb,"['mutually, reciprocally, respectively, vice versa.']",,3
փոխադարձութիւն,noun,"['mutuality, reciprocity, compensation, conversion.']",,3
փոխադրական,adjective,"['pertaining to transfer or transportation; transmissible, communicable contagious (especially in me",,3
փոխադրութիւն,noun,"['transport, transportation.']",,3
փոխադրուիլ,verb,['to be transported; to move.'],,3
փոխակերպել,verb,"['to transform, to change the form or appearance of something; to transfigure; to alter, to modify o",,3
փոխանակութիւն,noun,"['change, exchange, troc, truck, replacement; substitution, permutation.']",,3
փոխանակումն,noun,"['exchange, substitution, barter, replacement.']",,3
փոխանորդ,noun,"['substitute, replacer, stand-in, suppliant, vicar, proxy, supplicant, representative, representant,",,2
փոխանցիկ,adjective,"['transmissive, contagious, infectious.']",,2
փոխանցուիլ,verb,"['to be transmitted, conveyed, transferred, transported.']",,3
փոխանցումն,noun,"['transmission, transfer.']",,3
փոխառութիւն,noun,"['loan, borrowing.']",,3
փոխարժէք,noun,"['value, worth, price.']",,2
փոխարկել,verb,"['to convert, to transfer, to turn, to change, to transform; to replace, to exchange.']",,2
փոխյարաբերութիւն,noun,['intercommunication.'],,3
փոխուիլ,verb,"['to change, to alter, to be changed, to be transmuted, to be transformed, to be resolved.']",,2
փոշիանալ,verb,"['to become dust, to be reduced to fine powder; to be reduced to very small particles, to become ext",,2
փոշիացնել,verb,"['to pulverize, to reduce to dust; to waste.']",,3
փոշիացումն,noun,['pulverization.'],,3
փորձագետին,noun,['proving ground.'],,3
փորձագէտ,adjective,['expert.'],,2
փորձանք,noun,"['evil, misfortune, disaster, mischance; temptation, adversity, tribulation, peril.']",,2
փորձառու,adjective,"['experienced, skilled, proficient, knowledgeable; someone who has experience in a particular field,",,2
փորձառութիւն,noun,"['experience, experiment.']",,3
փորձութիւն,noun,"['temptation, adversity, misfortune, calamity.']",,3
փորձուիլ,verb,"['to be tested, to be tried; to be subjected to a test; to be recognized through trial; to undergo a",,2
փութկոտութիւն,noun,"['hastiness, expeditiousness.']",,3
փոփոխական,adjective,"['frequently or continuously changing; easily altered; variable, changeable, unpredictable, unstable",,3
փոփոխութիւն,noun,"['change, mutation, alteration.']",,3
փոփոխումն,noun,"['change, mutation, alteration, changing, variation, conversion, variation, permutation, modificatio",,3
փոքրաթիւ,adjective,"['small in number, few, not numerous, not many, rare, scarce.']",,2
փոքրամասնութիւն,noun,['minority.'],,3
փոքրութիւն,noun,"['smallness, littleness, shortness, meanness, diminution.']",,3
փսփսալ,verb,['to whisper.'],,2
փրթիլ,verb,"['to be broken off, to break off, to be detached, to snap, to come off.']",,1
փրկութիւն,noun,"['salvation, redemption, recovery, deliverance, repurchase, ransom.']",,3
փրկուիլ,verb,"['to be saved; to escape, to run away, to take refuge.']",,2
քալուածք,noun,"['gait, manner of walking.']",,2
քահանայութիւն,noun,['priesthood; hierarchy.'],,3
քաղաքականութիւն,noun,"['politics, policy.']",,3
քաղաքականօրէն,adverb,"['politically, politicly.']",,3
քաղաքակիրթ,adjective,['civilized.'],,3
քաղաքակրթական,adjective,['civilizing; civilizational.'],,3
քաղաքակրթութիւն,noun,['civilization.'],,3
քաղաքաշինութիւն,noun,"['city-building; urban design, planning, and construction.']",,3
քաղաքավարութիւն,noun,"['courtesy, politeness, honesty, civility, good manners, courteousness, urbanity, compliments, affab",,3
քաղուածք,noun,"['Harvesting; the act or manner of reaping; Excerpt, extract, or passage taken selectively from one ",,2
քաղցրութիւն,noun,"['sweetness, suavity, charm, pleasantness, softening, agreeableness.']",,3
քայքայումն,noun,"['decomposition, dissolution, destruction, disunion, disintegration.']",,3
քանակութիւն,noun,['quantity.'],,3
քանդակել,verb,['To engrave or carve images or letters into a hard surface using a sharp steel tool; To sculpt by c,,2
քանդակուիլ,verb,['To be engraved or carved (images or inscriptions) into a hard surface using a sharp steel tool; To,,3
քանդուիլ,verb,"['to fall in decay, to destroy oneself; to be pulled down, demolished, ruined, subverted, devastated",,2
քանդումն,noun,"['demolition, devastation, destruction, dismantling.']",,2
քանքարաւոր,adjective,"['ingenious, clever, having talents.']",,3
քաշուիլ,verb,"['to be drawn, pulled, enticed, dragged, absorbed; to retire, to recede, to shrink, to withdraw, to ",,2
քաշքշուիլ,verb,"['to be tugged, dragged, delayed, or distorted.']",,3
քաջալերական,adjective,"['encouraging, exhortative, reassuring.']",,3
քաջալերութիւն,noun,"['courage, encouragement, exhortation.']",,3
քաջալերուիլ,verb,"['to be encouraged, animated, stimulated, cheered, supported.']",,3
քաջածանօթ,adjective,"['well-acquainted, thoroughly familiar, well-informed; well-known, widely recognized.']",,3
քաջահմուտ,adjective,"['highly skilled, well-versed, masterful; describes someone who is very knowledgeable, deeply experi",,3
քաջառողջութիւն,noun,"['healthiness, euphoria, healthfulness, good health, plumpness.']",,3
քաջատեղեակ,adjective,['thoroughly informed; fully knowledgeable or well-informed about something; thoroughly familiar wit,,3
քաջութիւն,noun,"['bravery, valiantness, valor, courage, exploit, virtue, gallantry, manhood, daring, greatness of so",,3
քառասունք,noun,['forty days.'],,3
քարանալ,verb,"['to become stone, to be petrified; to harden like a rock; to become unmerciful, incompassionate; to",,2
քարացնել,verb,"['to petrify, to change to stone, to fossilize; to make hard, to harden.']",,2
քարոզարշաւ,noun,['political campaign.'],,3
քարոզչութիւն,noun,"['preaching, predication, mission, act of proclaiming; propaganda.']",,3
քարտուղարութիւն,noun,"[""secretaryship, secretary's office.""]",,3
քաւութիւն,noun,"['expiation, atonement, propitiation.']",,3
քերականականօրէն,adverb,['grammatically.'],,3
քերականութիւն,noun,['grammar.'],,3
քերթուած,noun,"['poem, poetry, verse.']",,2
քիմիագէտ,noun,['chemist.'],,2
քիմիագիտութիւն,noun,['chemistry.'],,3
քմահաճ,adjective,"['arbitrary, optional, inquisitorial, capricious, fantastic, whimsical.']",,2
քմահաճոյք,noun,"['caprice, whim, freak.']",,3
քմայք,noun,"['caprice, whim, freak.']",,1
քնարական,adjective,"['lyric, lyrical.']",,2
քնարերգութիւն,noun,"['lyricism, lyrics, lyric poetry.']",,3
քննադատական,noun,['critical; containing criticism; pertaining to a critic or criticism; having the qualities of a cri,,3
քննադատութիւն,noun,['criticism.'],,3
քննական,adjective,"['critical, examining, exploratory, inspective, investigative, of examination.']",,2
քննարկութիւն,noun,"['discussion, deliberation, review; the act or process of discussing something in detail, especially",,3
քննարկուիլ,verb,"['to be discussed, to be examined.']",,3
քննարկումն,noun,"['examination, audit; discussion.']",,3
քննութիւն,noun,"['examination, test, investigation, exploration.']",,3
քննուիլ,verb,"['to be examined, tested, investigated, censured, controlled, criticized, audited, inspected, survey",,2
քշուիլ,verb,"['To be driven / moved; To be carried or pushed along; To work and move forward; To be removed, depa",,2
քողարկել,verb,"['to cover with a veil, to hide under a covering; to mask, to hide, to conceal, to disguise.']",,2
քուէարկել,verb,"['to vote, to ballot, to poll.']",,3
քուէարկութիւն,noun,"['vote, voice, suffrage, poll, ballot.']",,3
քուէարկուիլ,verb,['to be voted.'],,3
քչութիւն,noun,['fewness.'],,2
քսութիւն,noun,"['slander, malicious gossip, backbiting; the act of being slanderous; spreading harmful rumors or ac",,2
քրիստոնէական,adjective,"['Christian, relating to a Christian; preached about or founded by Christ.']",,3
քրիստոնէութիւն,noun,"['Christianity, christendom, christians collectively.']",,3
քրմապետ,noun,"['high priest, pontiff, heathen pontiff.']",,2
քրտնիլ,verb,"['to sweat, to perspire, to toil, to drudge.']",,2
քօղարկել,verb,"['to cover with a veil, to hide under a covering; to mask, to hide, to conceal, to disguise.']",,2
օգնութիւն,noun,"['aid, help, relief, succour, assistance, support, furtherance.']",,3
օգտագործուիլ,verb,"['to be utilized, used; to be exploited, to be taken advantage of.']",,3
օգտագործումն,noun,"['use, utilization.']",,3
օգտակարութիւն,noun,"['utility, usefulness, helpfulness, benefit, profit, service.']",,3
օգտաշատ,adjective,"['very useful, available, advantageous, showing utility.']",,2
օգտուիլ,verb,"[""to profit, to take advantage of, to avail one's self of, to derive advantage from.""]",,2
օդանաւ,noun,"['airplane, airship.']",,2
օժանդակութիւն,noun,"['aid, help, relief, assistance, support.']",,3
օժտուիլ,verb,"['to be endowed, to be doted, to be blessed with.']",,2
օծութիւն,noun,"['anointing, unction, consecration.']",,2
օծումն,noun,"['anointment, consecration, inauguration.']",,2
օճախ,noun,"['fireplace; stove, furnace; home, family.']",,1
օսմանեան,adjective,['Ottoman.'],,2
օտարամոլութիւն,noun,['xenomania.'],,3
օտարամուտ,adjective,"['brought in or introduced from a foreign place; not native or original; imported, foreign, introduc",,3
օտարանալ,verb,"['to become a stranger, to be alienated, to become strange, to degenerate, to go away, to remove, to",,2
օտարութիւն,noun,"['strangeness, alienation, state or quality of being strange, unlikeness; pilgrimage; abroad, foreig",,3
օրաթերթ,noun,['daily newspaper.'],,2
օրէնք,noun,['law.'],,1
օրինազանց,adjective,"['who overlooks the law, law breaker, transgressor, infractor, infringer, prevaricator, offender of ",,3
օրինազանցութիւն,noun,"['infraction, infringement, contravention, transgression, offence, infraction of the law.']",,3
օրինակելի,adjective,"['exemplary, exemplifiable.']",,3
օրհնանք,noun,['blessing.'],,2
օրհնեալ,adjective,"['blessed, hallowed, consecrated, holy, praiseworthy.']",,2
օրհնութիւն,noun,['blessing; benediction; hymn.'],,3
օրհնուիլ,verb,"['to be blessed, consecrated, praised, glorified, honoured.']",,2
օրն ի բուն,adverb,['all day long.'],,3
օրրան,noun,"['cot, cradle.']",,1
օրօրել,verb,"['to rock, to rock to sleep, to lull, to cradle, to swing.']",,2
օփերա,noun,['opera.'],,1
ֆիզիքապէս,adverb,"['physically, bodily.']",,3
ֆութպոլ,noun,"['football, soccer.']",,2
ֆրանսախօս,adjective,['French-speaking.'],,3
ֆրանսական,adjective,['pertaining or specific to France and the French; a thing related to France and the French.'],,3
ֆրանսերէն,adverb,['the French language; in the French language; pertaining to the French language.'],,3
աբխազերենի,noun,['dative singular of աբխազերեն (abxazeren).'],,3
աբխազը,noun,['definite nominative singular of աբխազ (abxaz).'],,2
աբխազի,noun,['dative singular of աբխազ (abxaz).'],,2
աբխազին,noun,['definite dative singular of աբխազ (abxaz).'],,2
աբխազից,noun,['ablative singular of աբխազ (abxaz).'],,2
աբխազն,noun,['definite nominative singular of աբխազ (abxaz).'],,2
աբխազներ,noun,['nominative plural of աբխազ (abxaz).'],,2
աբխազները,noun,['definite nominative plural of աբխազ (abxaz).'],,3
աբխազների,noun,['dative plural of աբխազ (abxaz).'],,3
աբխազներին,noun,['definite dative plural of աբխազ (abxaz).'],,3
աբխազներից,noun,['ablative plural of աբխազ (abxaz).'],,3
աբխազներն,noun,['definite nominative plural of աբխազ (abxaz).'],,3
աբխազներով,noun,['instrumental plural of աբխազ (abxaz).'],,3
աբխազով,noun,['instrumental singular of աբխազ (abxaz).'],,2
ագռավներ,noun,['nominative plural of ագռավ (agṙav).'],,2
ագրեսիայի,noun,['dative singular of ագրեսիա (agresia).'],,3
ագրեսիային,noun,['definite dative singular of ագրեսիա (agresia).'],,3
ագրեսիայից,noun,['ablative singular of ագրեսիա (agresia).'],,3
ագրեսիայով,noun,['instrumental singular of ագրեսիա (agresia).'],,3
ագրեսիայում,noun,['locative singular of ագրեսիա (agresia).'],,3
ագրեսիան,noun,['definite nominative singular of ագրեսիա (agresia).'],,2
ագրեսիաներ,noun,['nominative plural of ագրեսիա (agresia).'],,3
ագրեսիաները,noun,['definite nominative plural of ագրեսիա (agresia).'],,3
ագրեսիաների,noun,['dative plural of ագրեսիա (agresia).'],,3
ագրեսիաներին,noun,['definite dative plural of ագրեսիա (agresia).'],,3
ագրեսիաներից,noun,['ablative plural of ագրեսիա (agresia).'],,3
ագրեսիաներն,noun,['definite nominative plural of ագրեսիա (agresia).'],,3
ագրեսիաներով,noun,['instrumental plural of ագրեսիա (agresia).'],,3
ագրեսիաներում,noun,['locative plural of ագրեսիա (agresia).'],,3
ազգեր,noun,['nominative plural of ազգ (azg).'],,1
ազգերի,noun,['dative plural of ազգ (azg).'],,2
ազդող,verb,['subjective participle of ազդել (azdel).'],,1
ախոռներ,noun,['nominative plural of ախոռ (axoṙ).'],,2
ածը,noun,['definite nominative singular of ած (ac).'],,1
ականջներ,noun,['nominative plural of ականջ (akanǰ).'],,2
ակնարկներ,noun,['nominative plural of ակնարկ (aknark).'],,3
ակնոցներ,noun,['nominative plural of ակնոց (aknocʻ).'],,2
աղանդներ,noun,['nominative plural of աղանդ (aġand).'],,2
աղեր,noun,['nominative plural of աղ (aġ).'],,1
աղջիկներ,noun,['nominative plural of աղջիկ (aġǰik).'],,2
աղվեսներ,noun,['nominative plural of աղվես (aġves).'],,2
աղքատները,noun,['definite nominative plural of աղքատ (aġkʻat).'],,3
ամառն,noun,['definite nominative singular of ամառ (amaṙ).'],,1
ամառներ,noun,['nominative plural of ամառ (amaṙ).'],,2
ամբողջությամբ,noun,['instrumental singular of ամբողջություն (amboġǰutʻyun).'],,3
ամենաբարձր,adj,['superlative degree of բարձր (barjr).'],,3
ամենալավ,adj,['superlative degree of լավ (lav).'],,2
ամենամեծ,adj,['superlative degree of մեծ (mec).'],,2
ամորձիներ,noun,['nominative plural of ամորձի (amorji).'],,3
ամպեր,noun,['nominative plural of ամպ (amp).'],,1
ամպերի,noun,['dative plural of ամպ (amp).'],,2
ամպերին,noun,['definite dative plural of ամպ (amp).'],,2
ամպերից,noun,['ablative plural of ամպ (amp).'],,2
ամպերով,noun,['instrumental plural of ամպ (amp).'],,2
ամպերում,noun,['locative plural of ամպ (amp).'],,2
ամպը,noun,['definite nominative singular of ամպ (amp).'],,1
ամպի,noun,['dative singular of ամպ (amp).'],,1
ամպին,noun,['definite dative singular of ամպ (amp).'],,1
ամպից,noun,['ablative singular of ամպ (amp).'],,1
ամպն,noun,['definite nominative singular of ամպ (amp).'],,1
ամպով,noun,['instrumental singular of ամպ (amp).'],,1
ամպում,noun,['locative singular of ամպ (amp).'],,2
ամսվա,noun,['dative singular of ամիս (amis).'],,1
ամրագրվել,verb,['mediopassive of ամրագրել (amragrel).'],,3
այգիներ,noun,['nominative plural of այգի (aygi).'],,2
այլատյացությունից,noun,['ablative singular of այլատյացություն (aylatyacʻutʻyun).'],,3
այծեր,noun,['nominative plural of այծ (ayc).'],,1
այրեր,noun,['nominative plural of այր (ayr).'],,1
այցելություններ,noun,['nominative plural of այցելություն (aycʻelutʻyun).'],,3
այցեր,noun,['nominative plural of այց (aycʻ).'],,1
անդամալուծվել,verb,"['mediopassive of անդամալուծել (andamalucel): to become paralyzed, to become an amputee.']",,3
անդամահատվել,verb,['mediopassive of անդամահատել (andamahatel).'],,3
անկյուններ,noun,['nominative plural of անկյուն (ankyun).'],,3
անկումներ,noun,['nominative plural of անկում (ankum).'],,3
անձեռոցիկներ,noun,['nominative plural of անձեռոցիկ (anjeṙocʻik).'],,3
անձեր,noun,['nominative plural of անձ (anj).'],,1
անձինք,noun,['nominative plural of անձ (anj).'],,2
անձիք,noun,['misconstruction of անձինք (anjinkʻ).'],,1
անուններ,noun,['nominative plural of անուն (anun).'],,2
անվան,noun,['dative singular of անուն (anun).'],,1
անվտանգության,noun,['dative singular of անվտանգություն (anvtangutʻyun).'],,3
անտառներ,noun,['nominative plural of անտառ (antaṙ).'],,2
անցել,verb,['perfective converb of անցնել (ancʻnel).'],,1
անցնող,verb,['subject participle of անցնել (ancʻnel).'],,2
անցող,verb,['nonstandard form of անցնող (ancʻnoġ).'],,1
աշխարհներ,noun,['nominative plural of աշխարհ (ašxarh).'],,3
աշուններ,noun,['nominative plural of աշուն (ašun).'],,2
աչքեր,noun,['nominative plural of աչք (ačʻkʻ).'],,1
ապամոնտաժվել,verb,['mediopassive of ապամոնտաժել (apamontažel).'],,3
ապացուցող,verb,['subject participle of ապացուցել (apacʻucʻel).'],,3
ապստամբներ,noun,['nominative plural of ապստամբ (apstamb).'],,3
ապստամբություններ,noun,['nominative plural of ապստամբություն (apstambutʻyun).'],,3
առա,verb,['first-person singular past perfect indicative of առնել (aṙnel).'],,1
առատության,noun,['dative singular of առատություն (aṙatutʻyun).'],,3
առկախվել,verb,"['mediopassive of առկախել (aṙkaxel): to be hanging, to be dangling.']",,2
առյուծներ,noun,['nominative plural of առյուծ (aṙyuc).'],,3
առևտրի,noun,['dative singular of առևտուր (aṙewtur).'],,2
ասա,verb,['second-person singular imperative of ասել (asel).'],,1
ասած,verb,['resultative participle of ասել (asel).'],,1
ասեղն,noun,['definite nominative singular of ասեղ (aseġ).'],,1
ասեղներ,noun,['nominative plural of ասեղ (aseġ).'],,2
ասեց,verb,['third-person singular past perfect indicative of ասել (asel).'],,1
աստիճաններ,noun,['nominative plural of աստիճան (astičan).'],,3
աստղեր,noun,['nominative plural of աստղ (astġ).'],,2
ավագանու,noun,['dative singular of ավագանի (avagani).'],,2
ավազակներ,noun,['nominative plural of ավազակ (avazak).'],,3
ավազներ,noun,['nominative plural of ավազ (avaz).'],,2
ավելացված,verb,['resultative participle of ավելացվել (avelacʻvel).'],,3
ավելացվել,verb,['mediopassive of ավելացնել (avelacʻnel).'],,3
ատամի,noun,['dative singular of ատամ (atam).'],,1
ատամներ,noun,['nominative plural of ատամ (atam).'],,2
ատամները,noun,['definite nominative plural of ատամ (atam).'],,2
արգանդի,noun,['dative singular of արգանդ (argand).'],,2
արգելքներ,noun,['nominative plural of արգելք (argelkʻ).'],,3
արեք,verb,['second-person plural imperative of անել (anel).'],,1
արժեմ,verb,['first-person singular present of արժել (aržel).'],,1
արժեքի,noun,['dative singular of արժեք (aržekʻ).'],,2
արծիվներ,noun,['nominative plural of արծիվ (arciv).'],,2
արկղեր,noun,['nominative plural of արկղ (arkġ).'],,2
արձագանքներ,noun,['nominative plural of արձագանք (arjagankʻ).'],,3
արմատներ,noun,['nominative plural of արմատ (armat).'],,2
արմունկներ,noun,['nominative plural of արմունկ (armunk).'],,3
արյան,noun,['dative singular of արյուն (aryun).'],,1
արորներ,noun,['nominative plural of արոր (aror).'],,2
արջեր,noun,['nominative plural of արջ (arǰ).'],,1
արտագաղթող,verb,['resultative participle of արտագաղթել (artagaġtʻel).'],,3
արտամղվել,verb,['mediopassive of արտամղել (artamġel).'],,3
արտասահմանցիներ,noun,['nominative plural of արտասահմանցի (artasahmancʻi).'],,3
արտեր,noun,['nominative plural of արտ (art).'],,1
արցունքներ,noun,['nominative plural of արցունք (arcʻunkʻ).'],,3
աքսիոմներ,noun,['nominative plural of աքսիոմ (akʻsiom).'],,3
բահեր,noun,['nominative plural of բահ (bah).'],,1
բահերի,noun,['dative plural of բահ (bah).'],,2
բահի,noun,['dative singular of բահ (bah).'],,1
բաներ,noun,['nominative plural of բան (ban).'],,1
բաները,noun,['definite nominative plural of բան (ban).'],,2
բաների,noun,['dative plural of բան (ban).'],,2
բաներից,noun,['ablative plural of բան (ban).'],,2
բաներն,noun,['definite nominative plural of բան (ban).'],,2
բաներով,noun,['instrumental plural of բան (ban).'],,2
բաներում,noun,['locative plural of բան (ban).'],,2
բանը,noun,['definite nominative singular of բան (ban).'],,1
բանի,noun,['dative singular of բան (ban).'],,1
բանից,noun,['ablative singular of բան (ban).'],,1
բանկեք,noun,['nominative plural of բանկա (banka).'],,2
բանն,noun,['definite nominative singular of բան (ban).'],,1
բանով,noun,['instrumental singular of բան (ban).'],,1
բանում,noun,['locative singular of բան (ban).'],,2
բանս,noun,['nominative singular first-person possessive of բան (ban).'],,1
բարկացած,verb,['resultative participle of բարկանալ (barkanal).'],,2
բարձունքներ,noun,['nominative plural of բարձունք (barjunkʻ).'],,3
բացառվել,verb,['mediopassive of բացառել (bacʻaṙel).'],,2
բացվել,verb,['passive voice of բացել (bacʻel).'],,2
բեղեր,noun,['nominative plural of բեղ (beġ).'],,1
բեր,verb,['second-person singular imperative of բերել (berel).'],,1
բերանի,noun,['dative singular of բերան (beran).'],,2
բերաններ,noun,['nominative plural of բերան (beran).'],,2
բերման,noun,['dative singular of բերում (berum).'],,2
բիլիարդի,noun,['dative singular of բիլիարդ (biliard).'],,2
բոզի,noun,['dative singular of բոզ (boz).'],,1
բոլորը,noun,['definite nominative singular of բոլոր (bolor).'],,2
բոցեր,noun,['nominative plural of բոց (bocʻ).'],,1
բռնաբարող,verb,['subject participle of բռնաբարել (bṙnabarel).'],,3
բրոնզի,noun,['dative singular of բրոնզ (bronz).'],,2
գալիս,verb,"['imperfective converb of գալ (gal).', 'simultaneous converb of գալ (gal).']",,1
գաղութացվել,verb,['mediopassive of գաղութացնել (gaġutʻacʻnel): to be colonized.'],,3
գաղտնիքներ,noun,['nominative plural of գաղտնիք (gaġtnikʻ).'],,3
գայլեր,noun,['nominative plural of գայլ (gayl).'],,2
գանգեր,noun,['nominative plural of գանգ (gang).'],,2
գանգրացվել,verb,['mediopassive of գանգրացնել (gangracʻnel).'],,3
գանդոններ,noun,['nominative plural of գանդոն (gandon).'],,3
գանք,verb,['first-person plural future optative of գալ (gal).'],,1
գառներ,noun,['nominative plural of գառ (gaṙ).'],,2
գարուններ,noun,['nominative plural of գարուն (garun).'],,3
գդալներ,noun,['nominative plural of գդալ (gdal).'],,2
գեղեցկուհին,noun,['definite nominative singular of գեղեցկուհի (geġecʻkuhi).'],,3
գետեր,noun,['nominative plural of գետ (get).'],,1
գետնից,noun,['ablative singular of գետին (getin).'],,2
գերեզմաններ,noun,['nominative plural of գերեզման (gerezman).'],,3
գերեզմանոցներ,noun,['nominative plural of գերեզմանոց (gerezmanocʻ).'],,3
գիլասներ,noun,['nominative plural of գիլաս (gilas).'],,2
գինիներ,noun,['nominative plural of գինի (gini).'],,2
գիշերներ,noun,['nominative plural of գիշեր (gišer).'],,2
գիրքդ,noun,['nominative singular second-person possessive of գիրք (girkʻ).'],,1
գիրքը,noun,['definite nominative singular of գիրք (girkʻ).'],,1
գիրքն,noun,['definite nominative singular of գիրք (girkʻ).'],,1
գիրքս,noun,['nominative singular first-person possessive of գիրք (girkʻ).'],,1
գլխարկը,noun,['definite nominative singular of գլխարկ (glxark).'],,2
գլխուղեղի,noun,['dative singular of գլխուղեղ (glxuġeġ).'],,3
գլուխը,noun,['definite nominative singular of գլուխ (glux).'],,2
գլուխներ,noun,['nominative plural of գլուխ (glux).'],,2
գծեր,noun,['nominative plural of գիծ (gic).'],,1
գյուղատնտեսություններ,noun,['nominative plural of գյուղատնտեսություն (gyuġatntesutʻyun).'],,3
գյուղացիք,noun,['nominative plural of գյուղացի (gyuġacʻi).'],,3
գնա,verb,['second-person singular imperative of գնալ (gnal).'],,1
գնդակով,noun,['instrumental singular of գնդակ (gndak).'],,2
գնող,verb,['subject participle of գնել (gnel).'],,1
գոտկատեղի,noun,['dative singular of գոտկատեղ (gotkateġ).'],,3
գործառույթը,noun,['definite nominative singular of գործառույթ (gorcaṙuytʻ).'],,3
գործեր,noun,['nominative plural of գործ (gorc).'],,2
գործերի,noun,['dative plural of գործ (gorc).'],,2
գործի,noun,['dative singular of գործ (gorc).'],,1
գործող,verb,['subject participle of գործել (gorcel).'],,2
գործում,verb,['imperfective converb of գործել (gorcel).'],,2
գույներ,noun,['nominative plural of գույն (guyn).'],,2
գրեցի,verb,['first-person singular past perfect indicative of գրել (grel).'],,1
գրպանի,noun,['dative singular of գրպան (grpan).'],,2
գրքեր,noun,['nominative plural of գիրք (girkʻ).'],,1
գրքերը,noun,['definite nominative plural of գիրք (girkʻ).'],,2
գրքերի,noun,['dative plural of գիրք (girkʻ).'],,2
գրքերին,noun,['definite dative plural of գիրք (girkʻ).'],,2
գրքերից,noun,['ablative plural of գիրք (girkʻ).'],,2
գրքերն,noun,['definite nominative plural of գիրք (girkʻ).'],,2
գրքերով,noun,['instrumental plural of գիրք (girkʻ).'],,2
գրքերում,noun,['locative plural of գիրք (girkʻ).'],,2
գրքի,noun,['dative singular of գիրք (girkʻ).'],,1
գրքին,noun,['definite dative singular of գիրք (girkʻ).'],,1
գրքից,noun,['ablative singular of գիրք (girkʻ).'],,1
գրքով,noun,['instrumental singular of գիրք (girkʻ).'],,1
գրքում,noun,['locative singular of գիրք (girkʻ).'],,2
