Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6	POS_7	Definition_7	POS_8	Definition_8	POS_9	Definition_9	POS_10	Definition_10	POS_11	Definition_11	POS_12	Definition_12	POS_13	Definition_13	POS_14	Definition_14	POS_15	Definition_15	POS_16	Definition_16
Չարասկիզբն			Սկզբնաչար																														
Չարաստեղծ			Չարապատկեր; Տգեղ																														
Չարավաւաշ			Վաւաշոտական																														
Չարատանջ			Չարալլուկ																														
Չարատեաց			Բարեսէր; Առաքինի																														
Չարատես			Գարշ; Յոռի; Չարադէմ; Ժանտ																														
Չարատեսակ			Գարշ; Յոռի; Չարադէմ; Ժանտ																														
Չարատեսիլ			Գարշ; Յոռի; Չարադէմ; Ժանտ																														
Չարարար			Չարագործ																														
Չարարարեմ			"<a href=""./?s=Չար"">Չար առնեմ</a>; <a href=""./?s=Չար"">Չար գործեմ</a>"																														
Չարարուեստ			Չարանիւթ; Չարահնար; Չարախորհ; Չարագործ																														
Չարարուեստութիւն			Չարախոհութիւն; Խորամանկութիւն																														
Չարացուցանեմ			Զայրացուցանեմ; Գրգռեմ		Չարչարեմ; Նեղեմ																												
Չարափառ			Մոլորեալ; Աղանդաւոր; Հերետիկոս																														
Չարափառութիւն			Աղանդ																														
Չարեացապարտ			Մեղապարտ																														
Չարըմբերութիւն			Չարակրութիւն																														
Չարընկալ			Անյագ																														
Չարժանի			Անարժան																														
Չարժանութիւն			Անարժանութիւն																														
Չարիմաստ			Չարամիտ; Չարախորհուրդ; Չարարուեստ; Նենգաւոր; Դաւաճան																														
Չարիմաց			Չարամիտ; Չարախորհուրդ; Չարարուեստ; Նենգաւոր; Դաւաճան																														
Չարիմացութիւն			Չարամտութիւն; Չարարուեստութիւն; Չարահնարութիւն																														
Չարիք			Չարութիւն; Մեղք; Յանցանք		Վնաս; Արկած; Աղէտ; Թշուառութիւն																												
Չարեօք			Չարաւ; Չարապէս; Չարաչար																														
Չարխորհրդութիւն			Չարամըտութիւն																														
Չարկամ			Չարակամ																														
Չարհամբաւ			Չարահամբաւ																														
Չարութիւն			Չարիք; Մեղք; Անզգամութիւն; Վատթարութիւն																														
Չարչարական			Չարչարելի; Կրական																														
Չարչարակից			Ճգնակից		Կարեկից; Կրակից; Ախտակից; Ցաւակից																												
Չարչարակցիմ			"<a href=""./?s=Չարչարակից"">Չարչարակից լինել</a>"																														
Չարչարակցութիւն			Խաչակցութիւն		Կարեկցութիւն; Ցաւակցութիւն																												
Չարչարանք			Չարչարութիւն; Տանջանք; Հարուած; Վիշտ; Ցաւ; Նեղութիւն; Կիրք																														
Չարչարանքն			Զատիկ																														
Չարչարանացն			Զատիկ																														
Չարչարեմ			"Նեղեմ; Խոշտանգեմ; <a href=""./?s=Աշխատ"">Աշխատ առնեմ</a>; Հարստահարեմ"																														
Չարչարելի			Չարչարական																														
Չարչարիչ			Տանջիչ																														
Չարչարութիւն			Չարչարանք																														
Չափ			Քանակ; Քանակութիւն; Որքանութիւն; Բաւ		Չափաւորութիւն; Եղանակ; Տարազ; Պայման; Համեմատութիւն; Զուգաչափութիւն		Ոտն		Չափաւոր; Վայելուչ		Մինչեւ; Իբր; Շուրջ																						
Չափով			Չափաւորապէս; Չափաւոր																														
Չափաբար			Չափով; Չափաւորապէս; Չափաբերապէս																														
Չափաբեր			Չափաւոր; Զգաստ		Դուզնաքեայ																												
Չափաբերական			Չափաւոր																														
Չափաբերապէս			Չափաբար																														
Չափաբերեմ			Յարմարեմ																														
Չափաբերութիւն			Չափակցութիւն; Համեմատութիւն; Յարմարութիւն																														
Չափակիր			Չափաբեր; Չափաւոր																														
Չափակցութիւն			Զուգաչափութիւն																														
Չափահասակ			Կատարելահասակ																														
Չափան			Չափ																														
Չափար			Ցանկ																														
Չափարան			Չափ																														
Չափաւոր			Համեմատ; Յարմար		Միջասահման; Միջակ		Պարկեշտ; Համեստ; Զգաստ		Նուաստ; Խոնարհ																								
Չափաւոր մի			Չափաւորապէս; Փոքր մի																														
Չափաւորագոյն			Նուազ																														
Չափաւորապէս			Չափով; Միջակաբար																														
Չափաւորեմ			"<a href=""./?s=XXXXXX"">Ի Չափու ունել</a>"																														
Չափաւորութիւն			Չափ		Չափակցութիւն; Յարմարութիւն		Պարկեշտութիւն																										
Չբարի			Անբարի; Չար																														
Չբնակաւոր			Անբուն; Անբնական																														
Չբնաւոր			Անբուն; Անբնական																														
Չգիտանք			Անգիտութիւն																														
Չգիտու			Անգէտ; Տգէտ; Անիմաստ; Տխմար																														
Չգիտուն			Անգէտ; Տգէտ; Անիմաստ; Տխմար																														
Չգոյ			Անգոյ																														
Չերէց			Չքահանայ																														
Չեւ			Մինչչեւ		Ոչ եւս																												
Չեւ եւս			Մինչչեւ		Ոչ եւս																												
Չէ			Չիք		Ան գոյ																												
Չէական			Արարած																														
Չէութիւն			Անէութիւն; Անգոյութիւն; Ոչնչութիւն; Ոչինչ; Չգոյ																														
Չիղզ			Չղջիկան; Հոլամուկ																														
Չինչ			Ոչինչ; Չէ; Չգոյ		Դուզնաքեայ; Տկար																												
Չիք			Չէ; Չգոյ; Պակասութիւն																														
Չկամութիւն			Դժկամակութիւն																														
Չկայ			Անկայուն; Անցաւոր																														
Չկենդանի			Անկենդան																														
Չկեցու			Անգործ; Անպիտան																														
Չկեցութիւն			Անգործութիւն																														
Չհաւատալի			Անհաւատալի																														
Չհլութիւն			Անհնազանդութիւն																														
Չձեռնհաս			Անձեռնհաս; Անզօր																														
Չղջիկան			Չիղջ																														
Չմարդւ			Անմարդի; Տմարգի																														
Չմարդութիւն			Տմարդութիւն																														
Չմարթու			Անճարակ; Անպէտ																														
Չմարթուն			Անճարակ; Անպէտ																														
Չմնալի			Անցաւոր																														
Չմոռացական			Անմոռանալի; Անանց																														
Չյանցուցեալ			Անմեղ																														
Չյաջողութիւն			Ձախորդութիւն; Վտանգ; Արկած																														
Չյուսալի			Անյուսալի																														
Չնաշխարհիկ			Գերաշխարհիկ; Նորահրաշ; Գերապանծ; Ահաւոր; Հրաշափառ																														
Չնչեան			Չնչին																														
Չնչիկ			Չնչին; Աննշան; Փոքրիկ																														
Չնչին			Չնչիկ; Դոյզն; Աննշան; Տկար; Անպիտան; Սին; Սնոտի																														
Չնչինագոյն			Ոչինչ; Սնոտի																														
Չոխակամ			Անոխակամ																														
Չոխակալութիւն			Անոխակալութիւն																														
Չոր			Ցամաք; Չորուտ																														
Չորաբեկ			Աշտուճ																														
Չորակերութիւն			Պահացողութիւն																														
Չորային			Չորանուտ; Չորուտ; Ցամաքային																														
Չորանամ			Ցամաքիմ; Գօսանամ																														
Չորանուտ			Ցամաքուտ; Չորային																														
Չորացուցանեմ			Ցամաքեցուցանեմ																														
Չորեքանկիւն			Քառանկիւն; Քառակուսի; Չորեքկուսի																														
Չորեքանկիւնի			Քառանկիւն; Քառակուսի; Չորեքկուսի																														
Չորեքգլխեան			Քառագլուխ; Չորեքտառեան																														
Չորեքգրեան			Քառագիր																														
Չորեքդիմեան			Քառադէմ; Չորեքկերպեան																														
Չորեքդիմւ			Քառադէմ; Չորեքկերպեան																														
Չորեքդրամեան			Սատեր																														
Չորեքեան			Չորեքին																														
Չորեքեզերեան			Չորեքծագեան																														
Չորեքերիվարեան			Քառաձի																														
Չորեքին			Չորեքեան																														
Չորեքծագեան			Չորեքեզերեան																														
Չորեքկանգնեան			Քառականգուն																														
Չորեքկարգեան			Քառակարգեան																														
Չորեքկերպ			Քառակերպ; Չորեքդիմեան; Չորեքդիմի																														
Չորեքկերպեան			Քառակերպ; Չորեքդիմեան; Չորեքդիմի																														
Չորեքկնակի			Չորիցս; Չորիցս անգամ																														
Չորեքկուսի			Քառակուսի; Չորեքանկիւնի																														
Չորեքնիւթեայ			Քառանիւթ; Քառանիւթեայ																														
Չորեքտառեան			Չորեքգլխեան																														
Չորեքտասանեքեան			Չորեքտասանեքին																														
Չորեքտասանեքին			Չորեքտասանեքեան																														
Չորեքտարրեան			Քառատարրեան																														
Չորիր			Չորրորդ																														
Չորիցս			Չորեքկնակի																														
Չորիցս անգամ			Չորեքկնակի																														
Չորուտ			Չոր																														
Չորրեակ			Քառեակ																														
Չորրորդ			Չորիր		Չորրեակ; Քառեակ		Քառորդ																										
Չորրորդպետութիւն			Շամշտութիւն																														
Չորք			Քառ																														
Չորքոտանի			Հետեւակ																														
Չու			Երթ; Գաղթ; Չուարարութիւն; Ուղեւորութիւն; Շարժումն; Տեղափոխութիւն		Բանակ; Կարաւան		Հանդերձանք; Աղխ																										
Չուան			Առասան; Ճոպան; Պարան; Կառան; Խառան																														
Չուառ			Թշուառ																														
Չուառագոյն			Թշուառագոյն																														
Չուառանամ			Թշուառանամ																														
Չուառութիւն			Թշուառութիւն																														
Չուարարութիւն			Չու																														
Չուեմ			"<a href=""./?s=Չու"">Չու առնեմ</a>; <a href=""./?s=Չու"">Ի չու անկանել</a>"																														
Չուխայ			Ցփսի																														
Չպէտ			Անպէտ; Անպիտան; Չնչին																														
Չպիտոյ			Անպէտ; Անպիտան; Չնչին																														
Չքահանայ			Չերէց																														
Չքանամ			"<a href=""./?s=Չիք"">Չիք լինել</a>; Չքոտիմ; Չքիմ; Անհետանամ; Աներեութանամ"		Պակասիմ; Նուազիմ; Խաւարիմ																												
Չքացուցանեմ			"<a href=""./?s=Անհետ"">Անհետ առնեմ</a>; Աներեւութացուցանեմ"																														
Չքաւոր			Աղքատ; Տնանկ; Ցականեալ		Անշուք; Անբաժ; Յետին																												
Չքաւորական			Անշուք; Անլոյս																														
Չքաւորիմ			Աղքատանամ; Կարօտիմ		Տկարանամ; Յետնիմ; Վերջանամ																												
Չքաւորութիւն			Աղքատութիւն; Տնանկութիւն		Պակասութիւն																												
Չքիմ			Չքանամ																														
Չքմեղ			Անմեղ																														
Չքնաղ			Աննման; Չնաշխարհիկ; Պայծառագեղ; Գերապանծ; Հոյակապ; Սքանչելի		Անակնունելի; Անակնկալ		Սքանչելապէս																										
Չքնաղագեղ			Ամենագեղ; Հրաշագեղ; Գեղեցկահրաշ																														
Չքնաղագիւտ			Դժուարագիւտ; Անգիւտ; Աննման																														
Չքնաղադէմ			Գեղեցկադէմ																														
Չքնաղազարդ			Գեղեցկազարդ																														
Չքնաղական			Չքնաղ																														
Չքնաղակերպ			Գեղեցկատես; Գեղեցկատեսիլ																														
Չքնաղակերտ			Հրաշակերտ; Հոյակապ																														
Չքնաղապէս			Գեղեցկապէս; Վայելչապէս																														
Չքնաղատես			Չքնաղադէմ; Գեղեցկադէմ; Հրաշագեղ; Չքնաղակերպ																														
Չքնաղատեսիլ			Չքնաղադէմ; Գեղեցկադէմ; Հրաշագեղ; Չքնաղակերպ																														
Չքոտիմ			Չքանամ																														
Չքոտի			Չնչին; Աննշան		Տհաս; Տղայամիտ																												
Չքոտիք			Ոչնչութիւն																														
Չքութիւն			Տարակուսանք; Տարակոյս; Վարանումն																														
Պագանեմ			Երկիրպագանեմ																														
Պալատն			Ապարանք; Արքունիք																														
Պաղատն			Ապարանք; Արքունիք		Պալատն																												
Պալար			Պաղպաջ		Սպի		Կեղ; Խոյլ; Խաղաւարտ		Խարան; Նիշ																								
Պալարակապ			Զարդարուն; Փողփողեալ																														
Պախարականք			Պարսաւանք																														
Պախարակեմ			Անգոսնեմ; Աղարտեմ; Պարսաւեմ; Թշնամանեմ; Ըստգտանեմ; Բամբասեմ																														
Պախարակութիւն			Պախարականք																														
Պախիմ			"Պակնում; Սրտաբեկիմ; <a href=""./?s=Ահաբեկ"">Ահաբեկ լինել</a>"																														
Պախեցուցանեմ			Պակուցանեմ																														
Պախումն			Պատառումն; Բեկումն		Սոսկումն; Ահ																												
Պախուց			Երասանակ																														
Պախրէ			Ւնչք; Ստացուած; Պիտոյք; Դրամ		Պաճարանք; Պաշար		Պաճար; Նախիր; Անդեայք; Արջառ																										
Պակաս			Թերի; Անկատար; Նուազ; Սակաւ		Պակասաբար																												
Պակասաբար			Պակաս																														
Պակասաձեռն			Սակաւաձեռն																														
Պակասամիտ			Անմիտ; Յետսամիտ																														
Պակասամտութիւն			Անմտութիւն; Անխելութիւն																														
Պակասամօրու			Քարձ																														
Պակասամօրուս			Քարձ																														
Պակասս պետ			Սակաւսպետ																														
Պակասաւոր			Պակաս; Թերի; Անկատար																														
Պակասեմ			Նուազիմ; Կասիմ; Դադարիմ; Տկարանամ		Նուաղիմ; Լքանիմ; Թալանամ																												
Պակասեցուցանեմ			"Նուազեցուցանեմ; <a href=""./?s=Բաց"">Ի բաց բառնամ</a>"																														
Պակասութիւն			Թերութիւն; Անկատարութիւն; Նուազութիւն		Չքաւորութիւն; Յետնութիւն																												
Պակասումն			Պակասութիւն																														
Պակեցուցանեմ			Պակուցանեմ																														
Պակնում			Պակչիմ; Պախիմ; Զարհուրիմ; Ապշիմ; Յիմարիմ																														
Պակշոտ			Խենէշ; Ցոփ; Անառակ; Լկտի; Վաւաշոտ																														
Պակշոտիմ			Անառակիմ; Շուայտիմ; Անկղիտանամ																														
Պակշոտութիւն			Անառակութիւն; Խենէշութիւն; Վաւաշոտութիւն; Ցանկասիրութիւն																														
Պակումն			Պախումն; Երկիւղ; Ահ																														
Պակուցանեմ			Պախեցուցանեմ; Հիացուցանեմ; Ահացուցանեմ																														
Պակուցանողական			Պակուցանող																														
Պակուցումն			Պակումն; Ահարկութիւն; Երկիւղ; Ահ																														
Պակչիմ			Պակնում																														
Պահ			Պահպանութիւն; Պահեստ		Բանտարգելութիւն																												
Պահախոյզ			Պահայոյզ																														
Պահակ			Պահապան; Պահանորդ; Պահակապան		Վերակացու; Պաշտպան; Ոստիկան		Օգնական; Ձեռնտու; Յանձանձիչ; Հոգաբարձու																										
Պահակապան			Պահակ																														
Պահակեմ			"<a href=""./?s=Փոյթ"">Փոյթ առնեմ</a>; <a href=""./?s=Փոյթ"">Փոյթ ունել</a>"																														
Պահակեր			Սնուցիչ; Դայեակ; Դաստիարակ																														
Պահայոյզ			Գիշերապահ																														
Պահանգ			Պահանգակապ		Զրահք; Պահպանակ																												
Պահանգակապ			Պահանգ																														
Պահանորդ			Պահապան; Պահպանող; Պահակ; Պարեկապան; Առաջապահ		Յուռութք; Գրապանակ																												
Պահանջանք			Պահանջումն																														
Պահանջարան			Դատարան																														
Պահանջիչ			Պահանջող		Վրէժխնդիր																												
Պահանջող			Հարկապահանջ																														
Պահանջումն			Պահանջանք																														
Պահապան			Պահպանիչ; Պահպանորդ		Պահպանութիւն; Պահ; Ամրութիւն		Գրապանակ; Պահանորդ																										
Պահապանապետ			Պահպանապետ																														
Պահապանութիւն			Պահպանութիւն																														
Պահարան			Պահպանարան		Դագաղ		Արկղ; Տուփ																										
Պահարանեմ			Պահեմ																														
Պահարկեմ			"<a href=""./?s=Պահ"">Պահ արկանել</a>; Պահպանեմ"																														
Պահացող			Պահող; Ժուժկալ																														
Պահացողութիւն			Պահք; Ժուժկալութիւն; Չորակերութիւն																														
Պահեմ			"<a href=""./?s=Պահ"">Պահ ունել</a>; Պահպանեմ; <a href=""./?s=Սպաս"">Սպաս առնեմ</a>; <a href=""./?s=Հովանի"">Հովանի լինել</a>"		"<a href=""./?s=Պինդ"">Պինդ ունել</a>; Արգելում"		Թաքուցանեմ; Մթերեմ		Ժուժկալեմ																								
Պահեկ			Պայիկ																														
Պահեստ			Պահուստ; Պահումն; Պահպանութիւն		Մթերք; Աւանդ		Բանտ																										
Պահուստ			Պահեստ																														
Պահպան			Պահապան																														
Պահպանակ			Զրահք		Գրապանակ																												
Պահպանական			Պահպանիչ; Պահպանող; Պահապան; Պահպանողական		Պաշտպան; Զօրավիգն		Հրամայական		Հմայեակ; Պահպանակ																								
Պահպանակից			Պահպանական; Պահպանող																														
Պահպանապետ			Պահապանապետ		Ներքինապետ; Մարդպետ																												
Պահպանարան			Պատսպարան																														
Պահպանեմ			Պահպանեցուցանեմ; Պաշտպանեմ; Հովանաւորեմ; Պատսպարեմ																														
Պահպանեցուցանեմ			Պահպանեմ																														
Պահպանիչ			Պահապան		Փրկիչ		Տեսուչ																										
Պահպանող			Պահապան		Փրկիչ		Տեսուչ																										
Պահպանողական			Պահպանական																														
Պահպանորդ			Պահապան																														
Պահպանոց			Պահապան		Բանտ																												
Պահպանութիւն			Պահ; Պաշտպանութիւն; Հովանի; Զգուշութիւն		Գրապանակ																												
Պահք			Պահացողութիւն; Ժուժկալութիւն; Ծոմ																														
Պաղ			Սառն; Սառոյց																														
Պաղանամ			Պաղիմ																														
Պաղան			Համետ																														
Պաղանեմ			Համետեմ																														
Պաղանձաւ			Քարանձաւ; Ժայռ																														
Պաղապանծական			Սառնատեսակ; Վճիտ; Յստակ																														
Պաղատ			Պաղատանք																														
Պաղատախառն			Աղերսալի; Թախծագին																														
Պաղատանք			Պաղատ; Պաղատումն; Մաղթանք; Աղաչանք; Աղերսանք; Թախանձանք; Աղօթք																														
Պաղատիմ			Աղաչեմ; Աղերսեմ; Մաղթեմ; Թախանձիմ																														
Պաղատումն			Պաղատանք																														
Պաղիմ			Պաղանամ; Սառիմ; Սառչիմ																														
Պաղէտ			Պաղատանք																														
Պաղումն			Սառումն																														
Պաղպաղակ			Բիւրեղ																														
Պաղպաջ			Պալար																														
Պաղպաջակ			Պղպջակ																														
Պաղպաջեմ			Փայլեմ; Փողփողեմ; Շողշողեմ																														
Պաղպաջումն			Փայլումն; Փաղփումն																														
Պաղպաջուն			Փաղփուն; Փայլուն; Պայծառ																														
Պաճար			Նախիր; Անդեայ; Արջառ; Դուար																														
Պաճարք			Պաճարանք; Հայթայթանք; Հնարք																														
Պաճարաբոյծ			Անասնաբոյծ; Պաճարատես; Հովիւ																														
Պաճարական			Պաճարեղէն; Պաճար																														
Պաճարամիտ			Անմիա																														
Պաճարանք			Պարէն; Պէտք; Գոյք; Ինչք		Հնարագիտութիւն; Հայթայթանք; Հնարք																												
Պաճարապէս			Անասնաբար																														
Պաճարատես			Պաճարաբոյծ																														
Պաճարարօտ			Արօտ																														
Պաճարեմ			Հայթայթեմ; Նիւթեմ; Հնարեմ; Ճարտարեմ; Ջանամ																														
Պաճարեղաբար			Անասնաբար; Անասնական																														
Պաճարեղէն			Անասնական																														
Պաճարեղէնք			Անասունք																														
Պաճարեղութիւն			Անասնութիւն; Անբանութիւն																														
Պաճեան			Պատճէն																														
Պաճէն			Պատճէն																														
Պաճիկ			Պատճէն																														
Պաճոյճ			Պաճուճեալ; Զարդարուն		Պաճուճանք; Զարդարանք																												
Պաճուճաբան			Պերճաբան; Պանծաբան; Ճոռոմաբան																														
Պաճուճաբանեմ			Պերճաբանեմ; Ճոռոմաբանեմ																														
Պաճուճազարդ			Պաճոյճ; Զարդարուն		Պատիր; Խաբէական																												
Պաճուճան			Պաճուճանք																														
Պաճուճանք			Պաճոյճ; Զարդ; Զարդարանք; Պճնութիւն; Պճնանք; Սեթեւեթ		Պաճուճապատանք																												
Պաճուճապատանք			Պաճուճանք; Խրտուիլ; Խուճիճ																														
Պաճուճասէր			Պճնասէր; Զարդասէր																														
Պաճուճեմ			Զարդարեմ; Գեղազարդեմ; Պճնեմ; Գեղերեսեմ; Սեթեւեթեմ		Զմռսեմ		Պերճաբանեմ																										
Պայազատ			Յաջորդ; Փոխանորդ; Ժառանգ; Ժառանգորդ		Ազնուատոհմ; Ազնուական																												
Պայազատեմ			Ժառանգեմ; Յաջորդեմ		Տիրապետեմ; Տիրեմ; Իշխեմ																												
Պայազատութիւն			Յաջորդութիւն																														
Պայակ			Պայիկ																														
Պայթիմ			Պատառիմ; Ճայթեմ																														
Պայթեմ			Պայթուցանեմ																														
Պայթիւն			Պայթումն																														
Պայթումն			Պայթիւն; Ճայթիւն; Շառաչումն																														
Պայթուցանեմ			Պայթեմ; Ճայթեցուցանեմ; Պատառեմ																														
Պայիկ			Պահակ; Պահակապան																														
Պայծառ			Լուսափայլ; Փայլուն; Ջինջ		Շքեղ; Փառացի; Երեւելի; Չքնաղ																												
Պայծառաբան			Պերճաբան; Պաճուճաբան; Ճոռոմաբան																														
Պայծառաբանեմ			Պերճաբանամ; Պաճուճաբանեմ; Ճառատեմ																														
Պայծառաբանութիւն			Պերճաբանութիւն; Ճոռոմաբանութիւն																														
Պայծառաբար			Պայծառապէս																														
Պայծառաբորբոք			Յորդալոյս																														
Պայծառագեղ			Չքնաղ																														
Պայծառագոյն			Պայծառերանգ																														
Պայծառագործեմ			Պայծառացուցանեմ																														
Պայծառազարդ			Վայելչապանծ; Շքեղ																														
Պայծառազարդութիւն			Շքեղութիւն																														
Պայծառազգեաց			Պայծառազգեստ; Լուսափայլ; Պայծառ																														
Պայծառազգենում			"<a href=""./?s=Պայծառազգեաց"">Պայծառազգեաց լինել</a>"																														
Պայծառազգեստ			Պայծառազգեաց																														
Պայծառազգեստիմ			"<a href=""./?s=Պայծառազգեաց"">Պայծառազգեաց լինել</a>"																														
Պայծառազգեստութիւն			Լուսափայլութիւն; Պայծառութիւն																														
Պայծառազգեցութիւն			Լուսափայլութիւն; Պայծառութիւն																														
Պայծառալոյս			Լուսապայծառ																														
Պայծառական			Պայծառ																														
Պայծառակացուրդ			Տօն; Տօնախմբութիւն																														
Պայծառակերպիմ			Պայծառացուցանեմ; Շքեղացուցանեմ		Պայծառանամ; Շքեղանամ																												
Պայծառակերպութիւն			Այլակերպութիւն																														
Պայծառակերտ			Գեղեցկաշէն; Պայծառաշէն																														
Պայծառահրաշ			Հրաշապայծառ																														
Պայծառայարդար			Պայծառակերտ; Հոյակապ																														
Պայծառային			Պայծառ																														
Պայծառանամ			"Լուսափայլեմ; Շքեղանամ; Պերճանամ; <a href=""./?s=Երեւելի"">Երեւելի լինել</a>"																														
Պայծառանշոյլ			Լուսաճաճանչ; Լուսաւոր; Անաղօտ																														
Պայծառաշէն			Պայծառակերտ																														
Պայծառապաճոյճ			Պայծառազարդ																														
Պայծառապարծ			Գեղապանծ; Պանծալի																														
Պայծառապէս			Փառօք; Վայելչապէս																														
Պայծառատեսիլ			Փառացի; Շքեղ																														
Պայծառարար			Լուսատու																														
Պայծառացուցանեմ			Փայլեցուցանեմ; Լուսաւորեմ; Վայելչացուցանեմ; Զարդարեմ																														
Պայծառերանգ			Պայծառագոյն																														
Պայծառութիւն			Լուսափայլութիւն; Փայլ; Լոյս; Փայլումն; Յստակութիւն; Շքեղութիւն; Վայելչութիւն																														
Պայծառումն			Պայծառութիւն																														
Պայղակումն			Բլշակնութիւն																														
Պայման			Ուխտ; Դաշն; Խոստումն		Կարգ; Օրէնք		Հանգամանք		Ոճ; Ձեւ																								
Պայմանաւոր			Պայմանաւորական; Օրինաւոր																														
Պայմանաւորական			Պայմանաւոր																														
Պայմանեմ			"<a href=""./?s=Պայման"">Պայման առնեմ</a>; Դաշնաւորիմ; Ուխտեմ"																														
Պայուսակ			Պարկ; Քսակ; Մախաղ																														
Պայքար			Կռիւ; Կագ; Վէճ																														
Պայքարեմ			"<a href=""./?s=Պայքար"">Ի պայքար մատչել</a>; <a href=""./?s=Պայքար"">Ի պայքար մտանել</a>; Կագեմ; Մաքառիմ; Ոգորիմ"																														
Պան			Բլիթ; Նկան		Խորիսխ																												
Պանդանդ			Պատանդ																														
Պանդխտակից			Նժդեհակից																														
Պանդխտանամ			Պանդխտիմ																														
Պանդխտանոց			Իջեւան; Օտարանոց																														
Պանդխտիմ			Գաղթիմ; Նժդեհանամ; Նժդեհիմ; Վտարանդիմ; Օտարանամ																														
Պանդխտութիւն			Նժդեհութիւն; Վտարանդութիւն; Գաղթականութիւն; Օտարութիւն																														
Պանդոկապան			Պանդոկապետ																														
Պանդոկապետ			Պանդոկապան																														
Պանդոկի			Իջեւան; Օթեւան; Վան; Խան																														
Պանդոյր			Անմիտ; Յիմար; Մորոս																														
Պանդորրութիւն			Անմտութիւն; Յիմարութիւն																														
Պանդուխտ			Վտարանդի; Նժդեհ; Տարագիր		Գաղթական; Օտարական																												
Պանթեռ			Յովազ																														
Պանիր			Մաճառակ																														
Պանծաբան			Պաճուճաբան																														
Պանծագոյն			Վսամ																														
Պանծամ			Պանծանամ; Պարծիմ; Հպարտանամ; Գոռոզանամ; Մեծամտեմ																														
Պանծալի			Հռչակելի; Գովելի; Հիանալի; Արգոյ; Շքեղ																														
Պանծանամ			Պանծամ																														
Պանծանք			Պանծութիւն; Պարծանք; Շքեղութիւն																														
Պանծացուցանեմ			Հռչակեմ; Մեծացուցանեմ																														
Պանծութիւն			Պանծանք; Պարծանք																														
Պաշար			Թոշակ; Պարէն; Նպար																														
Պաշարեմ			"<a href=""./?s=Շուրջ"">Շուրջ արկանել</a>; <a href=""./?s=Շուրջ"">Շուրջ պատել</a>; Շրջապատեմ; Շրջափակեմ; Պարփակեմ"																														
Պաշտակ			Ծառայ; Սպասաւոր																														
Պաշտամունք			Պաշտօն																														
Պաշտատական			Օժիտ																														
Պաշտեմ			"Երկրպագեմ; <a href=""./?s=Պաշտօնատար"">Պաշտօնատար լինել</a>; <a href=""./?s=Պաշտօն"">Պաշտօն հարկանել</a>"		"<a href=""./?s=Պաշտօն"">Պաշտօն արկանել</a>"		Սպասահարկեմ; Ծառայեմ; Արբանեկեմ		Դարմանեմ; Հոգամ		"<a href=""./?s=Կիր"">Ի կիր արկանել</a>; <a href=""./?s=Պէտք"">Պէտս առնեմ</a>; <a href=""./?s=Պիտօք"">Պիտօք վարել</a>"																						
Պաշտելութիւն			Պաշտօն																														
Պաշտումն			Պաշտելութիւն; Պաշտօն																														
Պաշտպան			Պահպանող; Հովանաւոր; Վերակացու		Օգնական; Պահապան; Ջատագով																												
Պաշտպանակք			Պաշտպանութիւն; Սպասահարկութիւն; Արբանեկութիւն																														
Պաշտպանեմ			"<a href=""./?s=Պաշտպան"">Պաշտպան լինել</a>; <a href=""./?s=Հովանի"">Հովանի լինել</a>; Հովանաւորեմ; Ջատագովեմ; Պահեմ; Պահպանեմ; Պատսպարեմ"		"<a href=""./?s=Փոյթ"">Փոյթ առնեմ</a>; Հոգամ; Արբանեկեմ; Պաշտեմ; Սպասահարկեմ"																												
Պաշտպանութիւն			Պաշտպանումն; Հովանաւորութիւն; Պահպանութիւն; Օգնականութիւն; Ջատագովութիւն; Զօրավիգն		Սպասահարկութիւն; Արբանեկութիւն; Պաշտօն																												
Պաշտպանումն			Պաշտպանութիւն																														
Պաշտօն			Պաշտումն; Աստուածապաշտութիւն; Պաշտամունք		Դիք; Կուռք		Սարկաւագութիւն; Սպասաւորութիւն																										
Մատուցանեմ			Մեծարեմ; Պատուասիրեմ; Պաշտեմ																														
Պաշտօնասէր			Կրօնասէր; Բարեպաշտ																														
Պաշտօնատար			Պաշտօնեայ; Պաշտօնարար; Երկրպագու																														
Պաշտօնատարութիւն			Ծառայութիւն																														
Պաշտօնատարումն			Ծառայութիւն																														
Պաշտօնարան			Պաշտօնետեղ; Տաճար; Եկեղեցի																														
Պաշտօնարար			Պաշտօնատար																														
Պաշտօնաւոր			Դիցապաշտ																														
Պաշտօնեայ			Պաշտօնատար; Սպասաւոր; Ծառայ		Հիւպերէտ		Ընդոծին		Կամակատար; Կամարար		Սարկաւագ																						
Պաշտօնետեղ			Պաշտօնարան																														
Պաշտօնուկք			Մարդահաճութիւն; Շողոքորթութիւն																														
Պապ			Հաւ																														
Պապախեմ			Խարշատեմ																														
Պապակեմ			Պասքեմ; Տոչորեմ																														
Պապակումն			Պասքումն; Պասուք; Տոչորումն																														
Պապանձեմ			Պապանձեցուցանեմ																														
Պապանձիմ			"Կարկիմ; Համրանամ; <a href=""./?s=Ափիբերան"">Ափիբերան լինել</a>"																														
